Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Minnesota Timberwolves,19,45,0.297,5th of 5,-3.78,103.4,3.2,108.1,-2.3,112.2,1.8,,R. Saunders (19-45),K. Towns (5.1),22
2018-19,NBA,Minnesota Timberwolves,36,46,0.439,5th of 5,-1.02,100.2,0.2,111.4,1,112.9,2.5,,T. Thibodeau (19-21) R. Saunders (17-25),K. Towns (10.4),22
2017-18,NBA,Minnesota Timberwolves*,47,35,0.573,4th of 5,2.35,96,-1.3,113.4,4.8,111.1,2.5,Lost W. Conf. 1st Rnd.,T. Thibodeau (47-35),K. Towns (14.0),22
2016-17,NBA,Minnesota Timberwolves,31,51,0.378,5th of 5,-0.64,94.6,-1.8,110.8,2,112,3.2,,T. Thibodeau (31-51),K. Towns (12.7),22
2015-16,NBA,Minnesota Timberwolves,29,53,0.354,5th of 5,-3.38,95.2,-0.6,106.5,0.1,110.1,3.7,,S. Mitchell (29-53),K. Towns (8.3),22
2014-15,NBA,Minnesota Timberwolves,16,66,0.195,5th of 5,-8,94.4,0.5,102.9,-2.7,112.2,6.6,,F. Saunders (16-66),G. Dieng (4.9),22
2013-14,NBA,Minnesota Timberwolves,40,42,0.488,3rd of 5,3.1,97.3,3.4,108.9,2.2,106.2,-0.5,,R. Adelman (40-42),K. Love (14.3),22
2012-13,NBA,Minnesota Timberwolves,31,51,0.378,5th of 5,-1.83,92.8,0.8,102.9,-3,105.4,-0.5,,R. Adelman (31-51),N. Peković (6.7),22
2011-12,NBA,Minnesota Timberwolves,26,40,0.394,5th of 5,-1.83,93.3,2,104.3,-0.3,106.6,2,,R. Adelman (26-40),K. Love (10.0),22
2010-11,NBA,Minnesota Timberwolves,17,65,0.207,5th of 5,-5.97,96.5,4.4,104.2,-3.1,111.1,3.8,,K. Rambis (17-65),K. Love (11.4),22
2009-10,NBA,Minnesota Timberwolves,15,67,0.183,5th of 5,-9.06,96.1,3.4,101.7,-5.9,111.6,4,,K. Rambis (15-67),K. Love (4.9),22
2008-09,NBA,Minnesota Timberwolves,24,58,0.293,4th of 5,-4.74,91.6,-0.1,106.1,-2.2,111.4,3.1,,R. Wittman (4-15) K. McHale (20-43),K. Love (5.3),22
2007-08,NBA,Minnesota Timberwolves,22,60,0.268,4th of 5,-6.26,91.9,-0.5,103.8,-3.7,111.2,3.7,,R. Wittman (22-60),A. Jefferson (7.7),22
2006-07,NBA,Minnesota Timberwolves,32,50,0.39,4th of 5,-3.16,91,-0.9,103.9,-2.6,107.9,1.4,,D. Casey (20-20) R. Wittman (12-30),K. Garnett (10.7),22
2005-06,NBA,Minnesota Timberwolves,33,49,0.402,4th of 5,-1.75,88.8,-1.7,102.4,-3.8,104.5,-1.7,,D. Casey (33-49),K. Garnett (14.9),22
2004-05,NBA,Minnesota Timberwolves,44,38,0.537,3rd of 5,1.73,89.1,-1.8,108.2,2.1,106.6,0.5,,F. Saunders (25-26) K. McHale (19-12),K. Garnett (16.1),22
2003-04,NBA,Minnesota Timberwolves*,58,24,0.707,1st of 7,5.86,89,-1.1,105.9,3,99.7,-3.2,Lost W. Conf. Finals,F. Saunders (58-24),K. Garnett (18.3),22
2002-03,NBA,Minnesota Timberwolves*,51,31,0.622,3rd of 7,2.46,91.9,0.9,106.1,2.5,103.8,0.2,Lost W. Conf. 1st Rnd.,F. Saunders (51-31),K. Garnett (15.6),22
2001-02,NBA,Minnesota Timberwolves*,50,32,0.61,3rd of 7,3.58,90.5,-0.2,109,4.5,105.3,0.8,Lost W. Conf. 1st Rnd.,F. Saunders (50-32),K. Garnett (12.8),22
2000-01,NBA,Minnesota Timberwolves*,47,35,0.573,4th of 7,1.81,91.8,0.5,105.2,2.2,103.7,0.7,Lost W. Conf. 1st Rnd.,F. Saunders (47-35),K. Garnett (11.8),22
1999-00,NBA,Minnesota Timberwolves*,50,32,0.61,3rd of 7,2.67,91.8,-1.3,106.1,2,103.4,-0.7,Lost W. Conf. 1st Rnd.,F. Saunders (50-32),K. Garnett (11.6),22
1998-99,NBA,Minnesota Timberwolves*,25,25,0.5,4th of 7,-0.17,91,2.1,101.9,-0.3,101.5,-0.7,Lost W. Conf. 1st Rnd.,F. Saunders (25-25),K. Garnett (5.4),22
1997-98,NBA,Minnesota Timberwolves*,45,37,0.549,3rd of 7,0.17,92.6,2.3,107.8,2.8,107.1,2.1,Lost W. Conf. 1st Rnd.,F. Saunders (45-37),K. Garnett (9.6),22
1996-97,NBA,Minnesota Timberwolves*,40,42,0.488,3rd of 7,-1.82,90.7,0.6,105.5,-1.2,107.1,0.4,Lost W. Conf. 1st Rnd.,F. Saunders (40-42),K. Garnett (7.3),22
1995-96,NBA,Minnesota Timberwolves,26,56,0.317,5th of 7,-5.14,93.5,1.7,104.1,-3.5,109.8,2.2,,B. Blair (6-14) F. Saunders (20-42),T. Gugliotta (5.3),22
1994-95,NBA,Minnesota Timberwolves,21,61,0.256,6th of 6,-8.22,91.4,-1.5,102.6,-5.7,112.4,4.1,,B. Blair (21-61),C. Laettner (6.2),22
1993-94,NBA,Minnesota Timberwolves,20,62,0.244,5th of 6,-6.55,94.7,-0.4,101.9,-4.4,109.2,2.9,,S. Lowe (20-62),M. Williams (5.6),22
1992-93,NBA,Minnesota Timberwolves,19,63,0.232,5th of 6,-7.62,93.8,-3,103.6,-4.4,111.8,3.8,,J. Rodgers (6-23) S. Lowe (13-40),M. Williams (7.6),22
1991-92,NBA,Minnesota Timberwolves,15,67,0.183,6th of 6,-6.85,95.1,-1.5,105,-3.2,112.4,4.2,,J. Rodgers (15-67),D. West (4.6),22
1990-91,NBA,Minnesota Timberwolves,29,53,0.354,5th of 7,-3.75,92.3,-5.5,106.7,-1.2,110.9,3,,B. Musselman (29-53),P. Richardson (5.9),22
1989-90,NBA,Minnesota Timberwolves,22,60,0.268,6th of 7,-3.6,91.1,-7.2,103.6,-4.5,108.2,0.1,,B. Musselman (22-60),T. Corbin (6.8),22
