Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Milwaukee Bucks*,53,12,0.815,1st of 5,10.44,105,4.8,112.6,2.2,101.9,-8.5,,M. Budenholzer (53-12),G. Antetokounmpo (10.4),21
2018-19,NBA,Milwaukee Bucks*,60,22,0.732,1st of 5,8.04,103.3,3.3,113.8,3.4,105.2,-5.2,Lost E. Conf. Finals,M. Budenholzer (60-22),G. Antetokounmpo (14.4),21
2017-18,NBA,Milwaukee Bucks*,44,38,0.537,3rd of 5,-0.45,96.2,-1.1,109.8,1.2,110.1,1.5,Lost E. Conf. 1st Rnd.,J. Kidd (23-22) J. Prunty (21-16),G. Antetokounmpo (11.9),21
2016-17,NBA,Milwaukee Bucks*,42,40,0.512,2nd of 5,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5,Lost E. Conf. 1st Rnd.,J. Kidd (42-40),G. Antetokounmpo (12.4),21
2015-16,NBA,Milwaukee Bucks,33,49,0.402,5th of 5,-3.98,94.2,-1.6,104.3,-2.1,108.7,2.3,,J. Kidd (33-49),G. Monroe (7.5),21
2014-15,NBA,Milwaukee Bucks*,41,41,0.5,3rd of 5,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4,Lost E. Conf. 1st Rnd.,J. Kidd (41-41),K. Middleton (6.7),21
2013-14,NBA,Milwaukee Bucks,15,67,0.183,5th of 5,-8.41,91.8,-2.1,103,-3.7,111.8,5.1,,L. Drew (15-67),J. Henson (3.3),21
2012-13,NBA,Milwaukee Bucks*,38,44,0.463,3rd of 5,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,Lost E. Conf. 1st Rnd.,S. Skiles (16-16) J. Boylan (22-28),E. İlyasova (6.7),21
2011-12,NBA,Milwaukee Bucks,31,35,0.47,3rd of 5,-0.23,93.7,2.4,105.5,0.9,105.2,0.6,,S. Skiles (31-35),E. İlyasova (6.4),21
2010-11,NBA,Milwaukee Bucks,35,47,0.427,3rd of 5,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8,,S. Skiles (35-47),A. Bogut (5.4),21
2009-10,NBA,Milwaukee Bucks*,46,36,0.561,2nd of 5,1.37,91.7,-1,104.9,-2.7,103.1,-4.5,Lost E. Conf. 1st Rnd.,S. Skiles (46-36),A. Bogut (7.5),21
2008-09,NBA,Milwaukee Bucks,34,48,0.415,5th of 5,-0.88,92.6,0.9,106.7,-1.6,107.9,-0.4,,S. Skiles (34-48),R. Jefferson (6.6),21
2007-08,NBA,Milwaukee Bucks,26,56,0.317,5th of 5,-6.92,91.3,-1.1,105.3,-2.2,112.8,5.3,,L. Krystkowiak (26-56),M. Redd (5.8),21
2006-07,NBA,Milwaukee Bucks,28,54,0.341,5th of 5,-4.43,92.3,0.4,107,0.5,111.7,5.2,,T. Stotts (23-41) L. Krystkowiak (5-13),M. Redd (6.1),21
2005-06,NBA,Milwaukee Bucks*,40,42,0.488,5th of 5,-1.07,91.2,0.7,106.3,0.1,107.4,1.2,Lost E. Conf. 1st Rnd.,T. Stotts (40-42),M. Redd (10.8),21
2004-05,NBA,Milwaukee Bucks,30,52,0.366,5th of 5,-3.09,90.8,-0.1,106.6,0.5,109.8,3.7,,T. Porter (30-52),M. Redd (6.2),21
2003-04,NBA,Milwaukee Bucks*,41,41,0.5,4th of 8,0.42,91.6,1.5,106.5,3.6,105.4,2.5,Lost E. Conf. 1st Rnd.,T. Porter (41-41),M. Redd (9.7),21
2002-03,NBA,Milwaukee Bucks*,42,40,0.512,4th of 8,-0.24,90.4,-0.6,108.8,5.2,108.6,5,Lost E. Conf. 1st Rnd.,G. Karl (42-40),S. Cassell (9.6),21
2001-02,NBA,Milwaukee Bucks,41,41,0.5,5th of 8,-0.62,90.2,-0.5,106.9,2.4,107.1,2.6,,G. Karl (41-41),R. Allen (8.9),21
2000-01,NBA,Milwaukee Bucks*,52,30,0.634,1st of 8,3.14,92.1,0.8,108.8,5.8,104.6,1.6,Lost E. Conf. Finals,G. Karl (52-30),R. Allen (13.7),21
1999-00,NBA,Milwaukee Bucks*,42,40,0.512,5th of 8,-0.06,92.7,-0.4,108.2,4.1,107.9,3.8,Lost E. Conf. 1st Rnd.,G. Karl (42-40),R. Allen (10.1),21
1998-99,NBA,Milwaukee Bucks*,28,22,0.56,4th of 8,1.66,87,-1.9,104.9,2.7,103,0.8,Lost E. Conf. 1st Rnd.,G. Karl (28-22),R. Allen (5.2),21
1997-98,NBA,Milwaukee Bucks,36,46,0.439,7th of 8,-1.33,90.2,-0.1,103.5,-1.5,105.6,0.6,,C. Ford (36-46),R. Allen (7.0),21
1996-97,NBA,Milwaukee Bucks,33,49,0.402,7th of 8,-1.38,89.5,-0.6,106.2,-0.5,108.3,1.6,,C. Ford (33-49),V. Baker (8.3),21
1995-96,NBA,Milwaukee Bucks,25,57,0.305,7th of 8,-4.92,90.2,-1.6,105.6,-2,111.5,3.9,,M. Dunleavy (25-57),V. Baker (6.2),21
1994-95,NBA,Milwaukee Bucks,34,48,0.415,6th of 7,-4.3,92.7,-0.2,106.2,-2.1,110.9,2.6,,M. Dunleavy (34-48),V. Baker (5.8),21
1993-94,NBA,Milwaukee Bucks,20,62,0.244,6th of 7,-6.24,94.5,-0.6,102.5,-3.8,109.3,3,,M. Dunleavy (20-62),E. Murdock (7.2),21
1992-93,NBA,Milwaukee Bucks,28,54,0.341,7th of 7,-3.26,96.1,-0.7,106.2,-1.8,110.1,2.1,,M. Dunleavy (28-54),E. Murdock (6.1),21
1991-92,NBA,Milwaukee Bucks,31,51,0.378,6th of 7,-1.46,95.5,-1.1,108.8,0.6,110.6,2.4,,D. Harris (8-9) F. Hamblen (23-42),M. Malone (7.8),21
