Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Los Angeles Lakers*,49,14,0.778,1st of 5,7.75,100.9,0.7,113,2.6,105.6,-4.8,,F. Vogel (49-14),A. Davis (10.3),17
2018-19,NBA,Los Angeles Lakers,37,45,0.451,4th of 5,-1.33,103.2,3.2,107.8,-2.6,109.5,-0.9,,L. Walton (37-45),L. James (7.2),17
2017-18,NBA,Los Angeles Lakers,35,47,0.427,3rd of 5,-1.44,100.3,3,106.5,-2.1,108,-0.6,,L. Walton (35-47),J. Randle (6.6),17
2016-17,NBA,Los Angeles Lakers,26,56,0.317,4th of 5,-6.29,98.5,2.1,106,-2.8,113,4.2,,L. Walton (26-56),L. Williams (4.9),17
2015-16,NBA,Los Angeles Lakers,17,65,0.207,5th of 5,-8.92,95.6,-0.2,101.6,-4.8,111.6,5.2,,B. Scott (17-65),L. Williams (4.7),17
2014-15,NBA,Los Angeles Lakers,21,61,0.256,5th of 5,-6.17,94,0.1,103.4,-2.2,110.6,5,,B. Scott (21-61),E. Davis (6.3),17
2013-14,NBA,Los Angeles Lakers,27,55,0.329,5th of 5,-5.33,98.7,4.8,104.2,-2.5,110.6,3.9,,M. D'Antoni (27-55),J. Meeks (4.5),17
2012-13,NBA,Los Angeles Lakers*,45,37,0.549,3rd of 5,1.48,94.4,2.4,107.8,1.9,106.6,0.7,Lost W. Conf. 1st Rnd.,M. Brown (1-4) B. Bickerstaff (4-1) M. D'Antoni (40-32),K. Bryant (10.9),17
2011-12,NBA,Los Angeles Lakers*,41,25,0.621,1st of 5,1.96,90.5,-0.8,106,1.4,104.4,-0.2,Lost W. Conf. Semis,M. Brown (41-25),P. Gasol (8.3),17
2010-11,NBA,Los Angeles Lakers*,57,25,0.695,1st of 5,6.01,90.7,-1.4,111,3.7,104.3,-3,Lost W. Conf. Semis,P. Jackson (57-25),P. Gasol (14.7),17
2009-10,NBA,Los Angeles Lakers*,57,25,0.695,1st of 5,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,Won Finals,P. Jackson (57-25),P. Gasol (11.0),17
2008-09,NBA,Los Angeles Lakers*,65,17,0.793,1st of 5,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,Won Finals,P. Jackson (65-17),P. Gasol (13.9),17
2007-08,NBA,Los Angeles Lakers*,57,25,0.695,1st of 5,7.34,95.6,3.2,113,5.5,105.5,-2,Lost Finals,P. Jackson (57-25),K. Bryant (13.8),17
2006-07,NBA,Los Angeles Lakers*,42,40,0.512,2nd of 5,0.24,93.5,1.6,108.6,2.1,108.6,2.1,Lost W. Conf. 1st Rnd.,P. Jackson (42-40),K. Bryant (13.0),17
2005-06,NBA,Los Angeles Lakers*,45,37,0.549,3rd of 5,2.53,90.9,0.4,108.4,2.2,105.7,-0.5,Lost W. Conf. 1st Rnd.,P. Jackson (45-37),K. Bryant (15.3),17
2004-05,NBA,Los Angeles Lakers,34,48,0.415,4th of 5,-2.32,90.8,-0.1,108.1,2,111.4,5.3,,R. Tomjanovich (24-19) F. Hamblen (10-29),K. Bryant (8.1),17
