Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Detroit Pistons,20,46,0.303,4th of 5,-4.22,97.6,-2.6,109,-1.4,112.7,2.3,,D. Casey (20-46),C. Wood (5.1),10
2018-19,NBA,Detroit Pistons*,41,41,0.5,3rd of 5,-0.56,97.4,-2.6,109,-1.4,109.2,-1.2,Lost E. Conf. 1st Rnd.,D. Casey (41-41),A. Drummond (10.0),10
2017-18,NBA,Detroit Pistons,39,43,0.476,4th of 5,-0.26,96.2,-1.1,107.2,-1.4,107.3,-1.3,,S. Van Gundy (39-43),A. Drummond (10.3),10
2016-17,NBA,Detroit Pistons,37,45,0.451,5th of 5,-1.29,95,-1.4,106,-2.8,107.1,-1.7,,S. Van Gundy (37-45),T. Harris (6.8),10
2015-16,NBA,Detroit Pistons*,44,38,0.537,3rd of 5,0.43,95.1,-0.7,106.1,-0.3,105.5,-0.9,Lost E. Conf. 1st Rnd.,S. Van Gundy (44-38),A. Drummond (7.4),10
2014-15,NBA,Detroit Pistons,32,50,0.39,5th of 5,-1.39,92.8,-1.1,105.3,-0.3,106.4,0.8,,S. Van Gundy (32-50),A. Drummond (7.7),10
2013-14,NBA,Detroit Pistons,29,53,0.354,4th of 5,-4.13,94.9,1,105.9,-0.8,109.7,3,,M. Cheeks (21-29) J. Loyer (8-24),A. Drummond (9.9),10
2012-13,NBA,Detroit Pistons,29,53,0.354,4th of 5,-4.33,90.8,-1.2,103.8,-2.1,108.1,2.2,,L. Frank (29-53),G. Monroe (5.9),10
2011-12,NBA,Detroit Pistons,25,41,0.379,4th of 5,-5.19,89.2,-2.1,101,-3.6,106.3,1.7,,L. Frank (25-41),G. Monroe (7.0),10
2010-11,NBA,Detroit Pistons,30,52,0.366,4th of 5,-3.78,89.2,-2.9,107.7,0.4,111.7,4.4,,J. Kuester (30-52),G. Monroe (6.6),10
2009-10,NBA,Detroit Pistons,27,55,0.329,5th of 5,-5.02,88.5,-4.2,105.6,-2,111.4,3.8,,J. Kuester (27-55),B. Wallace (4.7),10
2008-09,NBA,Detroit Pistons*,39,43,0.476,3rd of 5,-0.36,86.7,-5,107.4,-0.9,108,-0.3,Lost E. Conf. 1st Rnd.,M. Curry (39-43),T. Prince (6.2),10
2007-08,NBA,Detroit Pistons*,59,23,0.72,1st of 5,6.67,87.3,-5.1,111.4,3.9,102.9,-4.6,Lost E. Conf. Finals,F. Saunders (59-23),C. Billups (13.5),10
2006-07,NBA,Detroit Pistons*,53,29,0.646,1st of 5,3.69,87.3,-4.6,108.9,2.4,104.2,-2.3,Lost E. Conf. Finals,F. Saunders (53-29),C. Billups (11.4),10
2005-06,NBA,Detroit Pistons*,64,18,0.78,1st of 5,6.24,86.8,-3.7,110.8,4.6,103.1,-3.1,Lost E. Conf. Finals,F. Saunders (64-18),C. Billups (15.5),10
2004-05,NBA,Detroit Pistons*,54,28,0.659,1st of 5,3.31,87.2,-3.7,105.6,-0.5,101.2,-4.9,Lost Finals,L. Brown (54-28),C. Billups (12.1),10
2003-04,NBA,Detroit Pistons*,54,28,0.659,2nd of 8,5.04,87.9,-2.2,102,-0.9,95.4,-7.5,Won Finals,L. Brown (54-28),C. Billups (11.3),10
2002-03,NBA,Detroit Pistons*,50,32,0.61,1st of 8,2.97,86.8,-4.2,104.1,0.5,99.9,-3.7,Lost E. Conf. Finals,R. Carlisle (50-32),B. Wallace (10.6),10
2001-02,NBA,Detroit Pistons*,50,32,0.61,1st of 8,1.69,90,-0.7,104.8,0.3,102.4,-2.1,Lost E. Conf. Semis,R. Carlisle (50-32),B. Wallace (11.6),10
2000-01,NBA,Detroit Pistons,32,50,0.39,5th of 8,-2.08,94.7,3.4,100,-3,101.8,-1.2,,G. Irvine (32-50),J. Stackhouse (9.2),10
1999-00,NBA,Detroit Pistons*,42,40,0.512,4th of 8,1.13,95.7,2.6,107.3,3.2,105.8,1.7,Lost E. Conf. 1st Rnd.,A. Gentry (28-30) G. Irvine (14-10),G. Hill (10.7),10
1998-99,NBA,Detroit Pistons*,29,21,0.58,3rd of 8,3.97,86.3,-2.6,104.2,2,100.3,-1.9,Lost E. Conf. 1st Rnd.,A. Gentry (29-21),G. Hill (7.3),10
1997-98,NBA,Detroit Pistons,37,45,0.451,6th of 8,1.95,88.2,-2.1,105.3,0.3,103.5,-1.5,,D. Collins (21-24) A. Gentry (16-21),G. Hill (10.2),10
1996-97,NBA,Detroit Pistons*,54,28,0.659,3rd of 8,5.45,84.5,-5.6,110.6,3.9,104.4,-2.3,Lost E. Conf. 1st Rnd.,D. Collins (54-28),G. Hill (14.6),10
1995-96,NBA,Detroit Pistons*,46,36,0.561,5th of 8,2.45,87.7,-4.1,107.9,0.3,105.1,-2.5,Lost E. Conf. 1st Rnd.,D. Collins (46-36),G. Hill (11.7),10
1994-95,NBA,Detroit Pistons,28,54,0.341,7th of 7,-7.08,93.2,0.3,105.1,-3.2,112.9,4.6,,D. Chaney (28-54),G. Hill (5.4),10
1993-94,NBA,Detroit Pistons,20,62,0.244,7th of 7,-7.46,94.2,-0.9,102.7,-3.6,110.9,4.6,,D. Chaney (20-62),T. Mills (6.3),10
1992-93,NBA,Detroit Pistons,40,42,0.488,6th of 7,-1.1,93.2,-3.6,107.4,-0.6,108.9,0.9,,R. Rothstein (40-42),J. Dumars (9.1),10
