Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Charlotte Hornets,23,42,0.354,4th of 5,-6.88,95.8,-4.4,106.3,-4.1,113.3,2.9,,J. Borrego (23-42),C. Zeller (3.6),5
2018-19,NBA,Charlotte Hornets,39,43,0.476,2nd of 5,-1.32,98.7,-1.3,111.4,1,112.5,2.1,,J. Borrego (39-43),K. Walker (7.4),5
2017-18,NBA,Charlotte Hornets,36,46,0.439,3rd of 5,0.07,98.4,1.1,109.4,0.8,109.1,0.5,,S. Clifford (36-46),K. Walker (8.6),5
2016-17,NBA,Charlotte Hornets,36,46,0.439,4th of 5,-0.07,95.7,-0.7,108.8,0,108.6,-0.2,,S. Clifford (36-46),K. Walker (8.1),5
2015-16,NBA,Charlotte Hornets*,48,34,0.585,3rd of 5,2.36,95.7,-0.1,107.1,0.7,104.3,-2.1,Lost E. Conf. 1st Rnd.,S. Clifford (48-34),K. Walker (9.9),5
2014-15,NBA,Charlotte Hornets,33,49,0.402,4th of 5,-3.44,93,-0.9,100.1,-5.5,103.5,-2.1,,S. Clifford (33-49),A. Jefferson (4.7),5
2013-14,NBA,Charlotte Bobcats*,43,39,0.524,3rd of 5,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9,Lost E. Conf. 1st Rnd.,S. Clifford (43-39),A. Jefferson (7.8),5
2012-13,NBA,Charlotte Bobcats,21,61,0.256,4th of 5,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6,,M. Dunlap (21-61),K. Walker (4.8),5
2011-12,NBA,Charlotte Bobcats,7,59,0.106,5th of 5,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8,,P. Silas (7-59),D. Brown (2.3),5
2010-11,NBA,Charlotte Bobcats,34,48,0.415,4th of 5,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5,,L. Brown (9-19) P. Silas (25-29),D. Augustin (6.2),5
2009-10,NBA,Charlotte Bobcats*,44,38,0.537,4th of 5,1.3,90.4,-2.3,104.4,-3.2,102.8,-4.8,Lost E. Conf. 1st Rnd.,L. Brown (44-38),G. Wallace (11.5),5
2008-09,NBA,Charlotte Bobcats,35,47,0.427,4th of 5,-1.2,88.3,-3.4,104.7,-3.6,106.1,-2.2,,L. Brown (35-47),G. Wallace (9.5),5
2007-08,NBA,Charlotte Bobcats,32,50,0.39,4th of 5,-4.49,91.8,-0.6,104.6,-2.9,109.4,1.9,,S. Vincent (32-50),J. Richardson (7.4),5
2006-07,NBA,Charlotte Bobcats,33,49,0.402,4th of 5,-3.97,92,0.1,103.6,-2.9,107.6,1.1,,B. Bickerstaff (33-49),G. Wallace (7.7),5
2005-06,NBA,Charlotte Bobcats,26,56,0.317,4th of 5,-3.9,93.4,2.9,102.5,-3.7,106.7,0.5,,B. Bickerstaff (26-56),G. Wallace (6.4),5
2004-05,NBA,Charlotte Bobcats,18,64,0.22,4th of 5,-6.15,92.3,1.4,101.1,-5,107.5,1.4,,B. Bickerstaff (18-64),P. Brezec (4.9),5
2001-02,NBA,Charlotte Hornets*,44,38,0.537,2nd of 8,0.57,89.7,-1,104.3,-0.2,103.3,-1.2,Lost E. Conf. Semis,P. Silas (44-38),P. Brown (8.2),5
2000-01,NBA,Charlotte Hornets*,46,36,0.561,3rd of 8,1.45,89.4,-1.9,101.8,-1.2,99.5,-3.5,Lost E. Conf. Semis,P. Silas (46-36),B. Davis (8.9),5
1999-00,NBA,Charlotte Hornets*,49,33,0.598,2nd of 8,2.33,93.9,0.8,104.3,0.2,101.4,-2.7,Lost E. Conf. 1st Rnd.,P. Silas (49-33),E. Jones (10.1),5
1998-99,NBA,Charlotte Hornets,26,24,0.52,5th of 8,0.63,89.7,0.8,102.3,0.1,102.4,0.2,,D. Cowens (4-11) P. Silas (22-13),D. Wesley (4.8),5
1997-98,NBA,Charlotte Hornets*,51,31,0.622,3rd of 8,2.45,89.4,-0.9,107.5,2.5,105.3,0.3,Lost E. Conf. Semis,D. Cowens (51-31),G. Rice (9.3),5
1996-97,NBA,Charlotte Hornets*,54,28,0.659,4th of 8,2.13,88.6,-1.5,110.9,4.2,108.9,2.2,Lost E. Conf. 1st Rnd.,D. Cowens (54-28),A. Mason (11.4),5
1995-96,NBA,Charlotte Hornets,41,41,0.5,6th of 8,-0.48,91.6,-0.2,111.2,3.6,111.8,4.2,,A. Bristow (41-41),L. Johnson (10.1),5
1994-95,NBA,Charlotte Hornets*,50,32,0.61,2nd of 7,2.87,91.2,-1.7,109.6,1.3,106.1,-2.2,Lost E. Conf. 1st Rnd.,A. Bristow (50-32),A. Mourning (9.4),5
1993-94,NBA,Charlotte Hornets,41,41,0.5,5th of 7,-0.23,97.5,2.4,108.4,2.1,108.6,2.3,,A. Bristow (41-41),H. Hawkins (6.5),5
1992-93,NBA,Charlotte Hornets*,44,38,0.537,3rd of 7,-0.02,100.2,3.4,109.5,1.5,109.7,1.7,Lost E. Conf. Semis,A. Bristow (44-38),L. Johnson (9.6),5
1991-92,NBA,Charlotte Hornets,31,51,0.378,7th of 7,-3.57,101.7,5.1,107.1,-1.1,110.9,2.7,,A. Bristow (31-51),L. Johnson (8.9),5
1990-91,NBA,Charlotte Hornets,26,56,0.317,7th of 7,-4.95,97.3,-0.5,105,-2.9,110.4,2.5,,G. Littles (26-56),M. Bogues (4.8),5
1989-90,NBA,Charlotte Hornets,19,63,0.232,7th of 7,-7,98.1,-0.2,102,-6.1,109.9,1.8,,D. Harter (8-32) G. Littles (11-31),M. Bogues (6.7),5
1988-89,NBA,Charlotte Hornets,20,62,0.244,6th of 6,-7.74,100.3,-0.3,103.7,-4.1,112.1,4.3,,D. Harter (20-62),K. Rambis (4.8),5
