Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Oklahoma City Thunder,40,24,0.625,3rd of 5,2.79,98.6,-1.6,111.6,1.2,109.1,-1.3,,B. Donovan (40-24),C. Paul (8.1),25
2018-19,NBA,Oklahoma City Thunder*,49,33,0.598,4th of 5,3.56,102.8,2.8,110.3,-0.1,107,-3.4,Lost W. Conf. 1st Rnd.,B. Donovan (49-33),P. George (11.9),25
2017-18,NBA,Oklahoma City Thunder*,48,34,0.585,2nd of 5,3.42,96.7,-0.6,110.7,2.1,107.2,-1.4,Lost W. Conf. 1st Rnd.,B. Donovan (48-34),R. Westbrook (10.1),25
2016-17,NBA,Oklahoma City Thunder*,47,35,0.573,2nd of 5,1.14,97.8,1.4,108.3,-0.5,107.5,-1.3,Lost W. Conf. 1st Rnd.,B. Donovan (47-35),R. Westbrook (13.1),25
2015-16,NBA,Oklahoma City Thunder*,55,27,0.671,1st of 5,7.09,96.7,0.9,113.1,6.7,105.6,-0.8,Lost W. Conf. Finals,B. Donovan (55-27),K. Durant (14.5),25
2014-15,NBA,Oklahoma City Thunder,45,37,0.549,2nd of 5,2.47,95.7,1.8,107.8,2.2,105.5,-0.1,,S. Brooks (45-37),R. Westbrook (10.6),25
2013-14,NBA,Oklahoma City Thunder*,59,23,0.72,1st of 5,6.66,95.4,1.5,110.5,3.8,103.9,-2.8,Lost W. Conf. Finals,S. Brooks (59-23),K. Durant (19.2),25
2012-13,NBA,Oklahoma City Thunder*,60,22,0.732,1st of 5,9.15,93.3,1.3,112.4,6.5,102.6,-3.3,Lost W. Conf. Semis,S. Brooks (60-22),K. Durant (18.9),25
2011-12,NBA,Oklahoma City Thunder*,47,19,0.712,1st of 5,6.44,93,1.7,109.8,5.2,103.2,-1.4,Lost Finals,S. Brooks (47-19),K. Durant (12.2),25
2010-11,NBA,Oklahoma City Thunder*,55,27,0.671,1st of 5,3.81,92.7,0.6,111.2,3.9,107.2,-0.1,Lost W. Conf. Finals,S. Brooks (55-27),K. Durant (12.0),25
2009-10,NBA,Oklahoma City Thunder*,50,32,0.61,4th of 5,3.55,93.1,0.4,108.3,0.7,104.6,-3,Lost W. Conf. 1st Rnd.,S. Brooks (50-32),K. Durant (16.1),25
2008-09,NBA,Oklahoma City Thunder,23,59,0.28,5th of 5,-6.04,93.6,1.9,102.9,-5.4,109.4,1.1,,P. Carlesimo (1-12) S. Brooks (22-47),K. Durant (7.9),25
2007-08,NBA,Seattle SuperSonics,20,62,0.244,5th of 5,-8.04,96.3,3.9,100.5,-7,109.5,2,,P. Carlesimo (20-62),N. Collison (4.5),25
2006-07,NBA,Seattle SuperSonics,31,51,0.378,5th of 5,-2.45,91.8,-0.1,107.2,0.7,110.3,3.8,,B. Hill (31-51),R. Lewis (7.6),25
