Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Phoenix Suns,26,39,0.4,4th of 5,-1.04,101.4,1.2,110.5,0.1,111.8,1.4,,M. Williams (26-39),D. Booker (6.0),28
2018-19,NBA,Phoenix Suns,19,63,0.232,5th of 5,-8.61,100.5,0.5,105.9,-4.5,115.1,4.7,,I. Kokoskov (19-63),D. Ayton (5.8),28
2017-18,NBA,Phoenix Suns,21,61,0.256,5th of 5,-8.8,100.3,3,103.5,-5.1,112.8,4.2,,E. Watson (0-3) J. Triano (21-58),A. Len (4.5),28
2016-17,NBA,Phoenix Suns,24,58,0.293,5th of 5,-5.14,100.3,3.9,106.6,-2.2,112.2,3.4,,E. Watson (24-58),E. Bledsoe (5.3),28
2015-16,NBA,Phoenix Suns,23,59,0.28,4th of 5,-6.32,98.5,2.7,102.2,-4.2,109,2.6,,J. Hornacek (14-35) E. Watson (9-24),M. Teletović (3.8),28
2014-15,NBA,Phoenix Suns,39,43,0.476,3rd of 5,-0.38,96.3,2.4,105.3,-0.3,106.2,0.6,,J. Hornacek (39-43),E. Bledsoe (7.0),28
2013-14,NBA,Phoenix Suns,48,34,0.585,3rd of 5,3.02,95.8,1.9,109.5,2.8,106.7,0,,J. Hornacek (48-34),G. Dragić (10.3),28
2012-13,NBA,Phoenix Suns,25,57,0.305,5th of 5,-5.75,93.4,1.4,101.2,-4.7,108.1,2.2,,A. Gentry (13-28) L. Hunter (12-29),G. Dragić (5.7),28
2011-12,NBA,Phoenix Suns,33,33,0.5,3rd of 5,0.29,92.6,1.3,106.2,1.6,106.5,1.9,,A. Gentry (33-33),M. Gortat (7.6),28
2010-11,NBA,Phoenix Suns,40,42,0.488,2nd of 5,-0.46,94.4,2.3,109.5,2.2,110.4,3.1,,A. Gentry (40-42),S. Nash (7.9),28
2009-10,NBA,Phoenix Suns*,54,28,0.659,2nd of 5,4.67,95.3,2.6,115.3,7.7,110.2,2.6,Lost W. Conf. Finals,A. Gentry (54-28),A. Stoudemire (10.7),28
2008-09,NBA,Phoenix Suns,46,36,0.561,2nd of 5,1.62,96,4.3,113.6,5.3,111.6,3.3,,T. Porter (28-23) A. Gentry (18-13),S. O'Neal (7.8),28
2007-08,NBA,Phoenix Suns*,55,27,0.671,2nd of 5,5.14,96.7,4.3,113.3,5.8,108.1,0.6,Lost W. Conf. 1st Rnd.,M. D'Antoni (55-27),A. Stoudemire (14.6),28
2006-07,NBA,Phoenix Suns*,61,21,0.744,1st of 5,7.28,95.6,3.7,113.9,7.4,106.4,-0.1,Lost W. Conf. Semis,M. D'Antoni (61-21),S. Nash (12.6),28
2005-06,NBA,Phoenix Suns*,54,28,0.659,1st of 5,5.48,95.8,5.3,111.5,5.3,105.8,-0.4,Lost W. Conf. Finals,M. D'Antoni (54-28),S. Marion (14.6),28
2004-05,NBA,Phoenix Suns*,62,20,0.756,1st of 5,7.08,95.9,5,114.5,8.4,107.1,1,Lost W. Conf. Finals,M. D'Antoni (62-20),A. Stoudemire (14.6),28
2003-04,NBA,Phoenix Suns,29,53,0.354,6th of 7,-2.94,92.6,2.5,101.4,-1.5,105.5,2.6,,F. Johnson (8-13) M. D'Antoni (21-40),S. Marion (9.1),28
2002-03,NBA,Phoenix Suns*,44,38,0.537,4th of 7,1.57,91.5,0.5,103.7,0.1,102.5,-1.1,Lost W. Conf. 1st Rnd.,F. Johnson (44-38),S. Marion (13.0),28
2001-02,NBA,Phoenix Suns,36,46,0.439,6th of 7,-0.3,91.4,0.7,103.3,-1.2,104,-0.5,,S. Skiles (25-26) F. Johnson (11-20),S. Marion (9.8),28
2000-01,NBA,Phoenix Suns*,51,31,0.622,3rd of 7,2.63,93.1,1.8,100.3,-2.7,98,-5,Lost W. Conf. 1st Rnd.,S. Skiles (51-31),S. Marion (11.7),28
1999-00,NBA,Phoenix Suns*,53,29,0.646,3rd of 7,5.24,94,0.9,104.6,0.5,99,-5.1,Lost W. Conf. Semis,D. Ainge (13-7) S. Skiles (40-22),C. Robinson (9.6),28
1998-99,NBA,Phoenix Suns*,27,23,0.54,3rd of 7,2.15,90,1.1,105.8,3.6,103.3,1.1,Lost W. Conf. 1st Rnd.,D. Ainge (27-23),J. Kidd (8.1),28
1997-98,NBA,Phoenix Suns*,56,26,0.683,3rd of 7,4.44,91.4,1.1,107.4,2.4,101.8,-3.2,Lost W. Conf. 1st Rnd.,D. Ainge (56-26),A. McDyess (9.4),28
1996-97,NBA,Phoenix Suns*,40,42,0.488,4th of 7,0.21,93.2,3.1,109.3,2.6,108.6,1.9,Lost W. Conf. 1st Rnd.,C. Fitzsimmons (0-8) D. Ainge (40-34),K. Johnson (11.7),28
1995-96,NBA,Phoenix Suns*,41,41,0.5,4th of 7,0.28,93.2,1.4,110.3,2.7,110,2.4,Lost W. Conf. 1st Rnd.,P. Westphal (14-19) C. Fitzsimmons (27-22),C. Barkley (10.5),28
1994-95,NBA,Phoenix Suns*,59,23,0.72,1st of 7,3.86,95.9,3,114.5,6.2,110.4,2.1,Lost W. Conf. Semis,P. Westphal (59-23),C. Barkley (10.6),28
1993-94,NBA,Phoenix Suns*,56,26,0.683,2nd of 7,4.68,96.7,1.6,111.7,5.4,106.8,0.5,Lost W. Conf. Semis,P. Westphal (56-26),A. Green (9.3),28
1992-93,NBA,Phoenix Suns*,62,20,0.756,1st of 7,6.27,99.8,3,113.3,5.3,106.7,-1.3,Lost Finals,P. Westphal (62-20),C. Barkley (14.4),28
1991-92,NBA,Phoenix Suns*,53,29,0.646,3rd of 7,5.68,99.4,2.8,112.1,3.9,106.2,-2,Lost W. Conf. Semis,C. Fitzsimmons (53-29),J. Hornacek (11.6),28
1990-91,NBA,Phoenix Suns*,55,27,0.671,3rd of 7,6.49,101,3.2,112.6,4.7,106.1,-1.8,Lost W. Conf. 1st Rnd.,C. Fitzsimmons (55-27),K. Johnson (12.7),28
1989-90,NBA,Phoenix Suns*,54,28,0.659,3rd of 7,7.09,100.7,2.4,113.1,5,106.2,-1.9,Lost W. Conf. Finals,C. Fitzsimmons (54-28),K. Johnson (11.6),28
1988-89,NBA,Phoenix Suns*,55,27,0.671,2nd of 7,6.84,104.5,3.9,113.1,5.3,105.7,-2.1,Lost W. Conf. Finals,C. Fitzsimmons (55-27),K. Johnson (12.2),28
1987-88,NBA,Phoenix Suns,28,54,0.341,4th of 6,-4.8,101.2,1.6,107,-1,111.4,3.4,,J. Wetzel (28-54),J. Hornacek (5.0),28
1986-87,NBA,Phoenix Suns,36,46,0.439,5th of 6,-2.63,102,1.2,108,-0.3,110.3,2,,J. MacLeod (22-34) D. Van Arsdale (14-12),L. Nance (10.2),28
1985-86,NBA,Phoenix Suns,32,50,0.39,3rd of 6,-3.16,104.8,2.7,104.3,-2.9,107.2,0,,J. MacLeod (32-50),L. Nance (8.4),28
1984-85,NBA,Phoenix Suns*,36,46,0.439,3rd of 6,-2.34,102.5,0.4,104.7,-3.2,106.8,-1.1,Lost W. Conf. 1st Rnd.,J. MacLeod (36-46),L. Nance (7.9),28
1983-84,NBA,Phoenix Suns*,41,41,0.5,4th of 6,0.65,101.4,0,108.9,1.3,108,0.4,Lost W. Conf. Finals,J. MacLeod (41-41),L. Nance (9.8),28
1982-83,NBA,Phoenix Suns*,53,29,0.646,2nd of 6,4.61,101.6,-1.5,105.1,0.4,100.1,-4.6,Lost W. Conf. 1st Rnd.,J. MacLeod (53-29),L. Nance (10.5),28
