Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Houston Rockets,40,24,0.625,1st of 5,3.78,103.3,3.1,113.8,3.4,110.2,-0.2,,M. D'Antoni (40-24),J. Harden (11.5),14
2018-19,NBA,Houston Rockets*,53,29,0.646,1st of 5,4.96,97.9,-2.1,115.5,5.1,110.7,0.3,Lost W. Conf. Semis,M. D'Antoni (53-29),J. Harden (15.2),14
2017-18,NBA,Houston Rockets*,65,17,0.793,1st of 5,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,Lost W. Conf. Finals,M. D'Antoni (65-17),J. Harden (15.4),14
2016-17,NBA,Houston Rockets*,55,27,0.671,2nd of 5,5.84,100,3.6,114.7,5.9,109,0.2,Lost W. Conf. Semis,M. D'Antoni (55-27),J. Harden (15.0),14
2015-16,NBA,Houston Rockets*,41,41,0.5,4th of 5,0.34,97.6,1.8,108.3,1.9,108.1,1.7,Lost W. Conf. 1st Rnd.,K. McHale (4-7) J. Bickerstaff (37-34),J. Harden (13.3),14
2014-15,NBA,Houston Rockets*,56,26,0.683,1st of 5,3.82,96.5,2.6,107,1.4,103.4,-2.2,Lost W. Conf. Finals,K. McHale (56-26),J. Harden (16.4),14
2013-14,NBA,Houston Rockets*,54,28,0.659,2nd of 5,5.06,96.3,2.4,111,4.3,106.3,-0.4,Lost W. Conf. 1st Rnd.,K. McHale (54-28),J. Harden (12.8),14
2012-13,NBA,Houston Rockets*,45,37,0.549,3rd of 5,3.69,96.1,4.1,109.7,3.8,106.1,0.2,Lost W. Conf. 1st Rnd.,K. McHale (45-37),J. Harden (12.8),14
2011-12,NBA,Houston Rockets,34,32,0.515,4th of 5,0.57,91.7,0.4,105.5,0.9,105.2,0.6,,K. McHale (34-32),G. Dragić (5.1),14
2010-11,NBA,Houston Rockets,43,39,0.524,5th of 5,2.37,94.2,2.1,111.3,4,109,1.7,,R. Adelman (43-39),K. Martin (9.5),14
2009-10,NBA,Houston Rockets,42,40,0.512,3rd of 5,-0.02,94,1.3,107.6,0,108,0.4,,R. Adelman (42-40),L. Scola (6.3),14
2008-09,NBA,Houston Rockets*,53,29,0.646,2nd of 5,3.73,90.2,-1.5,108.4,0.1,104,-4.3,Lost W. Conf. Semis,R. Adelman (53-29),Y. Ming (10.6),14
2007-08,NBA,Houston Rockets*,55,27,0.671,3rd of 5,4.83,90.4,-2,106.8,-0.7,101.6,-5.9,Lost W. Conf. 1st Rnd.,R. Adelman (55-27),Y. Ming (8.3),14
2006-07,NBA,Houston Rockets*,52,30,0.634,3rd of 5,5.04,90.7,-1.2,106,-0.5,100.7,-5.8,Lost W. Conf. 1st Rnd.,J. Van Gundy (52-30),S. Battier (9.0),14
2005-06,NBA,Houston Rockets,34,48,0.415,5th of 5,-1.3,88,-2.5,101.6,-4.6,103.3,-2.9,,J. Van Gundy (34-48),Y. Ming (8.6),14
2004-05,NBA,Houston Rockets*,51,31,0.622,3rd of 5,4.27,88.8,-2.1,106.2,0.1,101.7,-4.4,Lost W. Conf. 1st Rnd.,J. Van Gundy (51-31),T. McGrady (12.0),14
2003-04,NBA,Houston Rockets*,45,37,0.549,5th of 7,2.28,87.8,-2.3,100.9,-2,99,-3.9,Lost W. Conf. 1st Rnd.,J. Van Gundy (45-37),Y. Ming (11.4),14
2002-03,NBA,Houston Rockets,43,39,0.524,5th of 7,1.89,88.8,-2.2,104.3,0.7,102.6,-1,,R. Tomjanovich (43-39),S. Francis (11.1),14
2001-02,NBA,Houston Rockets,28,54,0.341,5th of 7,-4.31,88.2,-2.5,103.1,-1.4,108.6,4.1,,R. Tomjanovich (28-54),C. Mobley (5.7),14
2000-01,NBA,Houston Rockets,45,37,0.549,5th of 7,2.71,90.4,-0.9,106.7,3.7,104.2,1.2,,R. Tomjanovich (45-37),S. Francis (12.2),14
1999-00,NBA,Houston Rockets,34,48,0.415,6th of 7,-0.57,94.2,1.1,104.8,0.7,105.7,1.6,,R. Tomjanovich (34-48),S. Francis (6.4),14
