Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,San Antonio Spurs,27,36,0.429,5th of 5,-1.19,100,-0.2,111.9,1.5,113.7,3.3,,G. Popovich (27-36),D. DeRozan (6.2),31
2018-19,NBA,San Antonio Spurs*,48,34,0.585,2nd of 5,1.8,98.3,-1.7,112.9,2.5,111.2,0.8,Lost W. Conf. 1st Rnd.,G. Popovich (48-34),L. Aldridge (9.3),31
2017-18,NBA,San Antonio Spurs*,47,35,0.573,3rd of 5,2.89,95,-2.3,107.9,-0.7,104.8,-3.8,Lost W. Conf. 1st Rnd.,G. Popovich (47-35),L. Aldridge (10.9),31
2016-17,NBA,San Antonio Spurs*,61,21,0.744,1st of 5,7.13,94.2,-2.2,111.1,2.3,103.5,-5.3,Lost W. Conf. Finals,G. Popovich (61-21),K. Leonard (13.6),31
2015-16,NBA,San Antonio Spurs*,67,15,0.817,1st of 5,10.28,93.8,-2,110.3,3.9,99,-7.4,Lost W. Conf. Semis,G. Popovich (67-15),K. Leonard (13.7),31
2014-15,NBA,San Antonio Spurs*,55,27,0.671,3rd of 5,6.34,93.8,-0.1,108.5,2.9,102,-3.6,Lost W. Conf. 1st Rnd.,G. Popovich (55-27),T. Duncan (9.6),31
2013-14,NBA,San Antonio Spurs*,62,20,0.756,1st of 5,8,95,1.1,110.5,3.8,102.4,-4.3,Won Finals,G. Popovich (62-20),K. Leonard (7.7),31
2012-13,NBA,San Antonio Spurs*,58,24,0.707,1st of 5,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,Lost Finals,G. Popovich (58-24),T. Parker (9.3),31
2011-12,NBA,San Antonio Spurs*,50,16,0.758,1st of 5,7.28,92.9,1.6,110.9,6.3,103.2,-1.4,Lost W. Conf. Finals,G. Popovich (50-16),T. Parker (7.1),31
2010-11,NBA,San Antonio Spurs*,61,21,0.744,1st of 5,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,Lost W. Conf. 1st Rnd.,G. Popovich (61-21),M. Ginóbili (9.9),31
2009-10,NBA,San Antonio Spurs*,50,32,0.61,2nd of 5,5.07,91.7,-1,110,2.4,104.5,-3.1,Lost W. Conf. Semis,G. Popovich (50-32),T. Duncan (10.9),31
2008-09,NBA,San Antonio Spurs*,54,28,0.659,1st of 5,3.36,88.4,-3.3,108.5,0.2,104.3,-4,Lost W. Conf. 1st Rnd.,G. Popovich (54-28),T. Duncan (10.1),31
2007-08,NBA,San Antonio Spurs*,56,26,0.683,2nd of 5,5.1,88.8,-3.6,107.2,-0.3,101.8,-5.7,Lost W. Conf. Finals,G. Popovich (56-26),M. Ginóbili (11.1),31
2006-07,NBA,San Antonio Spurs*,58,24,0.707,2nd of 5,8.35,89.8,-2.1,109.2,2.7,99.9,-6.6,Won Finals,G. Popovich (58-24),T. Duncan (13.0),31
2005-06,NBA,San Antonio Spurs*,63,19,0.768,1st of 5,6.69,88.5,-2,107.3,1.1,99.6,-6.6,Lost W. Conf. Semis,G. Popovich (63-19),T. Duncan (10.8),31
2004-05,NBA,San Antonio Spurs*,59,23,0.72,1st of 5,7.84,88.9,-2,107.5,1.4,98.8,-7.3,Won Finals,G. Popovich (59-23),T. Duncan (11.2),31
2003-04,NBA,San Antonio Spurs*,57,25,0.695,2nd of 7,7.51,89.2,-0.9,102.2,-0.7,94.1,-8.8,Lost W. Conf. Semis,G. Popovich (57-25),T. Duncan (13.1),31
2002-03,NBA,San Antonio Spurs*,60,22,0.732,1st of 7,5.65,90,-1,105.6,2,99.7,-3.9,Won Finals,G. Popovich (60-22),T. Duncan (16.5),31
2001-02,NBA,San Antonio Spurs*,58,24,0.707,1st of 7,6.28,90,-0.7,106.5,2,99.7,-4.8,Lost W. Conf. Semis,G. Popovich (58-24),T. Duncan (17.8),31
2000-01,NBA,San Antonio Spurs*,58,24,0.707,1st of 7,7.92,89.6,-1.7,106.6,3.6,98,-5,Lost W. Conf. Finals,G. Popovich (58-24),T. Duncan (13.2),31
1999-00,NBA,San Antonio Spurs*,53,29,0.646,2nd of 7,5.92,90.8,-2.3,105,0.9,98.6,-5.5,Lost W. Conf. 1st Rnd.,G. Popovich (53-29),T. Duncan (13.0),31
1998-99,NBA,San Antonio Spurs*,37,13,0.74,1st of 7,7.12,88.6,-0.3,104,1.8,95,-7.2,Won Finals,G. Popovich (37-13),T. Duncan (8.7),31
1997-98,NBA,San Antonio Spurs*,56,26,0.683,2nd of 7,3.3,88.4,-1.9,103.8,-1.2,99.4,-5.6,Lost W. Conf. Semis,G. Popovich (56-26),D. Robinson (13.8),31
1996-97,NBA,San Antonio Spurs,20,62,0.244,6th of 7,-7.93,87.3,-2.8,103.3,-3.4,112.3,5.6,,B. Hill (3-15) G. Popovich (17-47),W. Perdue (4.4),31
1995-96,NBA,San Antonio Spurs*,59,23,0.72,1st of 7,5.98,93.3,1.5,110.2,2.6,103.5,-4.1,Lost W. Conf. Semis,B. Hill (59-23),D. Robinson (18.3),31
1994-95,NBA,San Antonio Spurs*,62,20,0.756,1st of 6,5.9,94.6,1.7,111.7,3.4,105.4,-2.9,Lost W. Conf. Finals,B. Hill (62-20),D. Robinson (17.5),31
1993-94,NBA,San Antonio Spurs*,55,27,0.671,2nd of 6,5.05,90.1,-5,110.4,4.1,104.6,-1.7,Lost W. Conf. 1st Rnd.,J. Lucas (55-27),D. Robinson (20.0),31
1992-93,NBA,San Antonio Spurs*,49,33,0.598,2nd of 6,2.21,95.4,-1.4,109.6,1.6,106.8,-1.2,Lost W. Conf. Semis,J. Tarkanian (9-11) R. Hughes (1-0) J. Lucas (39-22),D. Robinson (13.2),31
