Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Indiana Pacers,39,26,0.6,2nd of 5,1.61,98.5,-1.7,110.3,-0.1,108.3,-2.1,,N. McMillan (39-26),D. Sabonis (7.6),15
2018-19,NBA,Indiana Pacers*,48,34,0.585,2nd of 5,2.76,98.1,-1.9,109.9,-0.5,106.5,-3.9,Lost E. Conf. 1st Rnd.,N. McMillan (48-34),D. Sabonis (7.6),15
2017-18,NBA,Indiana Pacers*,48,34,0.585,2nd of 5,1.18,96,-1.3,109.5,0.9,108.1,-0.5,Lost E. Conf. 1st Rnd.,N. McMillan (48-34),V. Oladipo (8.2),15
2016-17,NBA,Indiana Pacers*,42,40,0.512,3rd of 5,-0.64,95.9,-0.5,108.6,-0.2,108.8,0,Lost E. Conf. 1st Rnd.,N. McMillan (42-40),J. Teague (8.1),15
2015-16,NBA,Indiana Pacers*,45,37,0.549,2nd of 5,1.62,96.6,0.8,104.6,-1.8,102.9,-3.5,Lost E. Conf. 1st Rnd.,F. Vogel (45-37),P. George (9.2),15
2014-15,NBA,Indiana Pacers,38,44,0.463,4th of 5,-0.23,93.2,-0.7,103.5,-2.1,103.2,-2.4,,F. Vogel (38-44),G. Hill (5.4),15
2013-14,NBA,Indiana Pacers*,56,26,0.683,1st of 5,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel (56-26),P. George (10.8),15
2012-13,NBA,Indiana Pacers*,49,32,0.605,1st of 5,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel (49-32),G. Hill (9.7),15
2011-12,NBA,Indiana Pacers*,42,24,0.636,2nd of 5,2.6,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel (42-24),D. Granger (6.7),15
2010-11,NBA,Indiana Pacers*,37,45,0.451,2nd of 5,-1.38,94.7,2.6,104.8,-2.5,106,-1.3,Lost E. Conf. 1st Rnd.,J. O'Brien (17-27) F. Vogel (20-18),D. Granger (6.9),15
2009-10,NBA,Indiana Pacers,32,50,0.39,4th of 5,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,,J. O'Brien (32-50),T. Murphy (7.8),15
2008-09,NBA,Indiana Pacers,36,46,0.439,4th of 5,-0.76,96.5,4.8,108.1,-0.2,109.2,0.9,,J. O'Brien (36-46),T. Murphy (8.5),15
2007-08,NBA,Indiana Pacers,36,46,0.439,3rd of 5,-1.87,97.7,5.3,106,-1.5,107.5,0,,J. O'Brien (36-46),M. Dunleavy (8.5),15
2006-07,NBA,Indiana Pacers,35,47,0.427,4th of 5,-2.62,92.4,0.5,102.9,-3.6,105.5,-1,,R. Carlisle (35-47),D. Granger (6.5),15
2005-06,NBA,Indiana Pacers*,41,41,0.5,3rd of 5,1.62,89.7,-0.8,104.5,-1.7,102.4,-3.8,Lost E. Conf. 1st Rnd.,R. Carlisle (41-41),J. Foster (5.7),15
2004-05,NBA,Indiana Pacers*,44,38,0.537,3rd of 5,0.49,87.2,-3.7,105.5,-0.6,104.6,-1.5,Lost E. Conf. Semis,R. Carlisle (44-38),R. Miller (6.6),15
2003-04,NBA,Indiana Pacers*,61,21,0.744,1st of 8,4.93,87.5,-2.6,103.8,0.9,97.2,-5.7,Lost E. Conf. Finals,R. Carlisle (61-21),J. O'Neal (9.0),15
2002-03,NBA,Indiana Pacers*,48,34,0.585,2nd of 8,2.79,91.6,0.6,104.6,1,100.8,-2.8,Lost E. Conf. 1st Rnd.,I. Thomas (48-34),J. O'Neal (10.5),15
2001-02,NBA,Indiana Pacers*,42,40,0.512,4th of 8,-0.07,91.9,1.2,104.1,-0.4,103.8,-0.7,Lost E. Conf. 1st Rnd.,I. Thomas (42-40),R. Miller (9.5),15
2000-01,NBA,Indiana Pacers*,41,41,0.5,4th of 8,-0.77,89.4,-1.9,102,-1,102.2,-0.8,Lost E. Conf. 1st Rnd.,I. Thomas (41-41),R. Miller (10.3),15
1999-00,NBA,Indiana Pacers*,56,26,0.683,1st of 8,4.15,93.1,0,108.5,4.4,103.6,-0.5,Lost Finals,L. Bird (56-26),R. Miller (10.1),15
1998-99,NBA,Indiana Pacers*,33,17,0.66,1st of 8,3.86,86.4,-2.5,108.7,6.5,104.4,2.2,Lost E. Conf. Finals,L. Bird (33-17),R. Miller (6.4),15
1997-98,NBA,Indiana Pacers*,58,24,0.707,2nd of 8,6.25,87.9,-2.4,108.4,3.4,101.6,-3.4,Lost E. Conf. Finals,L. Bird (58-24),R. Miller (12.0),15
1996-97,NBA,Indiana Pacers,39,43,0.476,6th of 8,1.49,89,-1.1,105.8,-0.9,104.7,-2,,L. Brown (39-43),R. Miller (12.3),15
1995-96,NBA,Indiana Pacers*,52,30,0.634,2nd of 8,3.11,89.3,-2.5,110.8,3.2,107.2,-0.4,Lost E. Conf. 1st Rnd.,L. Brown (52-30),R. Miller (10.3),15
1994-95,NBA,Indiana Pacers*,52,30,0.634,1st of 7,3.35,90,-2.9,109.6,1.3,105.6,-2.7,Lost E. Conf. Finals,L. Brown (52-30),R. Miller (11.4),15
1993-94,NBA,Indiana Pacers*,47,35,0.573,3rd of 7,3.26,93.3,-1.8,107.8,1.5,104.2,-2.1,Lost E. Conf. Finals,L. Brown (47-35),R. Miller (11.7),15
1992-93,NBA,Indiana Pacers*,41,41,0.5,5th of 7,1.77,96,-0.8,111.9,3.9,110.1,2.1,Lost E. Conf. 1st Rnd.,B. Hill (41-41),R. Miller (11.3),15
1991-92,NBA,Indiana Pacers*,40,42,0.488,4th of 7,1.85,99,2.4,111.7,3.5,109.9,1.7,Lost E. Conf. 1st Rnd.,B. Hill (40-42),R. Miller (11.0),15
1990-91,NBA,Indiana Pacers*,41,41,0.5,5th of 7,-0.37,99.4,1.6,111.7,3.8,112.1,4.2,Lost E. Conf. 1st Rnd.,D. Versace (9-16) B. Hill (32-25),R. Miller (12.5),15
1989-90,NBA,Indiana Pacers*,42,40,0.512,5th of 7,-0.18,97,-1.3,111.5,3.4,111.4,3.3,Lost E. Conf. 1st Rnd.,D. Versace (42-40),R. Miller (12.1),15
1988-89,NBA,Indiana Pacers,28,54,0.341,6th of 6,-3,99.2,-1.4,106.8,-1,111,3.2,,J. Ramsay (0-7) M. Daniels (0-2) G. Irvine (6-14) D. Versace (22-31),R. Miller (6.5),15
1987-88,NBA,Indiana Pacers,38,44,0.463,6th of 6,-0.18,98,-1.6,106.6,-1.4,107.4,-0.6,,J. Ramsay (38-44),V. Fleming (8.4),15
