_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f7ffd2a7c939b86167d"),2010-11,NBA,Cleveland Cavaliers,19,63,0.232,5th of 5,-8.88,93,0.9,102.2,-5.1,111.8,4.5,,B. Scott (19-63),R. Sessions (4.4),7
ObjectId("5e8d4f7ffd2a7c939b86167e"),2011-12,NBA,Cleveland Cavaliers,21,45,0.318,5th of 5,-7.34,91.3,0,101.1,-3.5,108.9,4.3,,B. Scott (21-45),K. Irving (4.1),7
ObjectId("5e8d4f7ffd2a7c939b86167f"),2008-09,NBA,Cleveland Cavaliers*,66,16,0.805,1st of 5,8.68,88.7,-3,112.4,4.1,102.4,-5.9,Lost E. Conf. Finals,M. Brown (66-16),L. James (20.3),7
ObjectId("5e8d4f7ffd2a7c939b861680"),2009-10,NBA,Cleveland Cavaliers*,61,21,0.744,1st of 5,6.17,91.4,-1.3,111.2,3.6,104.1,-3.5,Lost E. Conf. Semis,M. Brown (61-21),L. James (18.5),7
ObjectId("5e8d4f7ffd2a7c939b861681"),2014-15,NBA,Cleveland Cavaliers*,53,29,0.646,1st of 5,4.08,92.3,-1.6,111.1,5.5,106.3,0.7,Lost Finals,D. Blatt (53-29),K. Irving (10.4),7
ObjectId("5e8d4f7ffd2a7c939b861682"),2013-14,NBA,Cleveland Cavaliers,33,49,0.402,3rd of 5,-3.86,93.1,-0.8,104.2,-2.5,107.7,1,,M. Brown (33-49),K. Irving (6.7),7
ObjectId("5e8d4f7ffd2a7c939b861683"),2015-16,NBA,Cleveland Cavaliers*,57,25,0.695,1st of 5,5.45,93.3,-2.5,110.9,4.5,104.5,-1.9,Won Finals,D. Blatt (30-11) T. Lue (27-14),L. James (13.6),7
ObjectId("5e8d4f7ffd2a7c939b861684"),2016-17,NBA,Cleveland Cavaliers*,51,31,0.622,1st of 5,2.87,96.2,-0.2,113.6,4.8,110.3,1.5,Lost Finals,T. Lue (51-31),L. James (12.9),7
ObjectId("5e8d4f7ffd2a7c939b861685"),2017-18,NBA,Cleveland Cavaliers*,50,32,0.61,1st of 5,0.59,98,0.7,112.9,4.3,111.9,3.3,Lost Finals,T. Lue (50-32),L. James (14.0),7
ObjectId("5e8d4f7ffd2a7c939b861686"),2007-08,NBA,Cleveland Cavaliers*,45,37,0.549,2nd of 5,-0.53,90.2,-2.2,106,-1.5,106.4,-1.1,Lost E. Conf. Semis,M. Brown (45-37),L. James (15.2),7
ObjectId("5e8d4f7ffd2a7c939b861687"),2006-07,NBA,Cleveland Cavaliers*,50,32,0.61,2nd of 5,3.33,90.8,-1.1,105.5,-1,101.3,-5.2,Lost Finals,M. Brown (50-32),L. James (13.7),7
ObjectId("5e8d4f7ffd2a7c939b861688"),2005-06,NBA,Cleveland Cavaliers*,50,32,0.61,2nd of 5,2.17,89.8,-0.7,107.8,1.6,105.4,-0.8,Lost E. Conf. Semis,M. Brown (50-32),L. James (16.3),7
ObjectId("5e8d4f7ffd2a7c939b861689"),2004-05,NBA,Cleveland Cavaliers,42,40,0.512,4th of 5,0.27,89.7,-1.2,106.6,0.5,105.7,-0.4,,P. Silas (34-30) B. Malone (8-10),L. James (14.3),7
ObjectId("5e8d4f7ffd2a7c939b86168a"),2003-04,NBA,Cleveland Cavaliers,35,47,0.427,5th of 8,-3.07,90.8,0.7,101.4,-1.5,104.2,1.3,,P. Silas (35-47),C. Boozer (9.4),7
ObjectId("5e8d4f7ffd2a7c939b86168b"),2002-03,NBA,Cleveland Cavaliers,17,65,0.207,8th of 8,-9.59,94,3,96.5,-7.1,106.7,3.1,,J. Lucas (8-34) K. Smart (9-31),C. Boozer (5.9),7
ObjectId("5e8d4f7ffd2a7c939b86168c"),2001-02,NBA,Cleveland Cavaliers,29,53,0.354,7th of 8,-3.52,90.3,-0.4,104.6,0.1,108.2,3.7,,J. Lucas (29-53),A. Miller (10.3),7
ObjectId("5e8d4f7ffd2a7c939b86168d"),2012-13,NBA,Cleveland Cavaliers,24,58,0.293,5th of 5,-4.87,92.3,0.3,104.3,-1.6,109.4,3.5,,B. Scott (24-58),K. Irving (5.3),7
ObjectId("5e8d4f7ffd2a7c939b86168e"),2000-01,NBA,Cleveland Cavaliers,30,52,0.366,6th of 8,-4.48,91.2,-0.1,100.3,-2.7,104.9,1.9,,R. Wittman (30-52),C. Weatherspoon (8.6),7
ObjectId("5e8d4f7ffd2a7c939b86168f"),1997-98,NBA,Cleveland Cavaliers*,47,35,0.573,5th of 8,3.06,89.9,-0.4,102.2,-2.8,99.1,-5.9,Lost E. Conf. 1st Rnd.,M. Fratello (47-35),W. Person (10.3),7
ObjectId("5e8d4f7ffd2a7c939b861690"),1998-99,NBA,Cleveland Cavaliers,22,28,0.44,7th of 8,-0.94,86.4,-2.5,99.6,-2.6,101.6,-0.6,,M. Fratello (22-28),S. Kemp (6.3),7
ObjectId("5e8d4f7ffd2a7c939b861691"),1996-97,NBA,Cleveland Cavaliers,42,40,0.512,5th of 8,2.32,82.9,-7.2,104.6,-2.1,102.4,-4.3,,M. Fratello (42-40),T. Brandon (10.8),7
ObjectId("5e8d4f7ffd2a7c939b861692"),1999-00,NBA,Cleveland Cavaliers,32,50,0.39,6th of 8,-3.64,95.7,2.6,100.4,-3.7,104,-0.1,,R. Wittman (32-50),A. Miller (5.3),7
ObjectId("5e8d4f7ffd2a7c939b861693"),1995-96,NBA,Cleveland Cavaliers*,47,35,0.573,3rd of 8,2.49,82.3,-9.5,109.9,2.3,106.7,-0.9,Lost E. Conf. 1st Rnd.,M. Fratello (47-35),T. Brandon (12.7),7
ObjectId("5e8d4f7ffd2a7c939b861694"),1994-95,NBA,Cleveland Cavaliers*,43,39,0.524,4th of 7,0.55,84.8,-8.1,105.3,-3,104.6,-3.7,Lost E. Conf. 1st Rnd.,M. Fratello (43-39),T. Hill (6.9),7
ObjectId("5e8d4f7ffd2a7c939b861695"),1993-94,NBA,Cleveland Cavaliers*,47,35,0.573,4th of 7,3.64,91.7,-3.4,109.4,3.1,105.1,-1.2,Lost E. Conf. 1st Rnd.,M. Fratello (47-35),M. Price (10.0),7
ObjectId("5e8d4f7ffd2a7c939b861696"),1992-93,NBA,Cleveland Cavaliers*,54,28,0.659,2nd of 7,6.3,94.8,-2,112.7,4.7,106,-2,Lost E. Conf. Semis,L. Wilkens (54-28),B. Daugherty (12.7),7
ObjectId("5e8d4f7ffd2a7c939b861697"),1990-91,NBA,Cleveland Cavaliers,33,49,0.402,6th of 7,-2.33,95.1,-2.7,106.1,-1.8,108.7,0.8,,L. Wilkens (33-49),L. Nance (9.8),7
ObjectId("5e8d4f7ffd2a7c939b861698"),1983-84,NBA,Cleveland Cavaliers,28,54,0.341,4th of 6,-3.71,97.4,-4,104.1,-3.5,108.5,0.9,,T. Nissalke (28-54),W. Free (5.3),7
ObjectId("5e8d4f7ffd2a7c939b861699"),1991-92,NBA,Cleveland Cavaliers*,57,25,0.695,2nd of 7,5.34,95,-1.6,113.9,5.7,108.2,0,Lost E. Conf. Finals,L. Wilkens (57-25),L. Nance (12.2),7
ObjectId("5e8d4f7ffd2a7c939b86169a"),1982-83,NBA,Cleveland Cavaliers,23,59,0.28,5th of 6,-6.78,97.6,-5.5,99.2,-5.5,106.8,2.1,,T. Nissalke (23-59),W. Free (4.6),7
ObjectId("5e8d4f7ffd2a7c939b86169b"),1987-88,NBA,Cleveland Cavaliers*,42,40,0.512,5th of 6,1.28,97.3,-2.3,106.8,-1.2,106,-2,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),M. Price (7.8),7
ObjectId("5e8d4f7ffd2a7c939b86169c"),1989-90,NBA,Cleveland Cavaliers*,42,40,0.512,4th of 7,-0.62,95,-3.3,106.9,-1.2,107.2,-0.9,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),M. Price (10.1),7
ObjectId("5e8d4f7ffd2a7c939b86169d"),1988-89,NBA,Cleveland Cavaliers*,57,25,0.695,2nd of 6,7.95,98,-2.6,110.6,2.8,102.9,-4.9,Lost E. Conf. 1st Rnd.,L. Wilkens (57-25),M. Price (11.3),7
ObjectId("5e8d4f7ffd2a7c939b86169e"),1986-87,NBA,Cleveland Cavaliers,31,51,0.378,6th of 6,-3.19,101.3,0.5,102.6,-5.7,106.4,-1.9,,L. Wilkens (31-51),H. Williams (7.5),7
ObjectId("5e8d4f7ffd2a7c939b86169f"),1985-86,NBA,Cleveland Cavaliers,29,53,0.354,5th of 6,-2.19,101.6,-0.5,105.5,-1.7,108.3,1.1,,G. Karl (25-42) G. Littles (4-11),R. Hinson (7.4),7
ObjectId("5e8d4f7ffd2a7c939b8616a0"),1980-81,NBA,Cleveland Cavaliers,28,54,0.341,5th of 6,-4.15,100.8,-1,104.3,-1.2,109.1,3.6,,B. Musselman (25-46) D. Delaney (3-8),M. Mitchell (6.0),7
ObjectId("5e8d4f7ffd2a7c939b8616a1"),1984-85,NBA,Cleveland Cavaliers*,36,46,0.439,4th of 6,-2.27,101.9,-0.2,106,-1.9,108.7,0.8,Lost E. Conf. 1st Rnd.,G. Karl (36-46),W. Free (6.0),7
ObjectId("5e8d4f7ffd2a7c939b8616a2"),1978-79,NBA,Cleveland Cavaliers,30,52,0.366,5th of 6,-3.57,102.7,-3.1,103.7,-0.1,107.3,3.5,,B. Fitch (30-52),C. Russell (6.7),7
ObjectId("5e8d4f7ffd2a7c939b8616a3"),1979-80,NBA,Cleveland Cavaliers,37,45,0.451,5th of 6,0.43,105.6,2.5,106.7,1.4,106.4,1.1,,S. Albeck (37-45),D. Robisch (8.6),7
ObjectId("5e8d4f7ffd2a7c939b8616a4"),1976-77,NBA,Cleveland Cavaliers*,43,39,0.524,4th of 6,1.08,101.5,-5,100,0.5,98.9,-0.6,Lost E. Conf. 1st Rnd.,B. Fitch (43-39),J. Chones (5.9),7
ObjectId("5e8d4f7ffd2a7c939b8616a5"),1981-82,NBA,Cleveland Cavaliers,15,67,0.183,6th of 6,-7.77,99.3,-1.6,103.3,-3.6,111.8,4.9,,D. Delaney (4-11) B. Kloppenburg (0-3) C. Daly (9-32) B. Musselman (2-21),J. Edwards (4.3),7
ObjectId("5e8d4f7ffd2a7c939b8616a6"),1977-78,NBA,Cleveland Cavaliers*,43,39,0.524,3rd of 6,0.44,103.5,-3.2,99.9,-1,99.4,-1.5,Lost E. Conf. 1st Rnd.,B. Fitch (43-39),E. Smith (6.8),7
ObjectId("5e8d4f7ffd2a7c939b8616a7"),1975-76,NBA,Cleveland Cavaliers*,49,33,0.598,1st of 5,2.34,101.6,-3.9,99.5,1.2,97,-1.3,Lost E. Conf. Finals,B. Fitch (49-33),J. Brewer (7.9),7
ObjectId("5e8d4f7ffd2a7c939b8616a8"),1972-73,NBA,Cleveland Cavaliers,32,50,0.39,4th of 4,-2.64,108.3,-2.4,94,-2.8,96.5,-0.3,,B. Fitch (32-50),L. Wilkens (9.5),7
ObjectId("5e8d4f7ffd2a7c939b8616a9"),1974-75,NBA,Cleveland Cavaliers,40,42,0.488,3rd of 5,-0.31,100.4,-4.1,97.6,-0.1,98,0.3,,B. Fitch (40-42),D. Snyder (6.4),7
ObjectId("5e8d4f7ffd2a7c939b8616aa"),1973-74,NBA,Cleveland Cavaliers,29,53,0.354,4th of 4,-4.16,104.1,-3.7,96,-1.7,100.1,2.4,,B. Fitch (29-53),L. Wilkens (6.5),7
ObjectId("5e8d4f7ffd2a7c939b8616ab"),1971-72,NBA,Cleveland Cavaliers,23,59,0.28,4th of 4,-7.9,111.5,-0.5,94.5,-3.4,101.4,3.5,,B. Fitch (23-59),B. Beard (5.9),7
ObjectId("5e8d4f7ffd2a7c939b8616ac"),1970-71,NBA,Cleveland Cavaliers,15,67,0.183,4th of 4,-12.04,110.6,-4.5,92.3,-4.9,102.4,5.2,,B. Fitch (15-67),W. Wesley (4.1),7
ObjectId("5e8d4f83a82561787bbe1508"),2018-19,NBA,Dallas Mavericks,33,49,0.402,5th of 5,-0.87,99,-1,109.4,-1,110.7,0.3,,R. Carlisle (33-49),D. Powell (7.5),8
ObjectId("5e8d4f83a82561787bbe1509"),2019-20,NBA,Dallas Mavericks,40,27,0.597,2nd of 5,5.84,99.1,-1.1,116.7,6.3,110.6,0.2,,R. Carlisle (40-27),L. Dončić (8.1),8
ObjectId("5e8d4f83a82561787bbe150a"),2011-12,NBA,Dallas Mavericks*,36,30,0.545,3rd of 5,1.78,91.4,0.1,103.3,-1.3,102.3,-2.3,Lost W. Conf. 1st Rnd.,R. Carlisle (36-30),D. Nowitzki (7.6),8
ObjectId("5e8d4f83a82561787bbe150b"),2010-11,NBA,Dallas Mavericks*,57,25,0.695,2nd of 5,4.41,91.3,-0.8,109.7,2.4,105,-2.3,Won Finals,R. Carlisle (57-25),D. Nowitzki (11.1),8
ObjectId("5e8d4f83a82561787bbe150c"),2009-10,NBA,Dallas Mavericks*,55,27,0.671,1st of 5,2.66,92.5,-0.2,109.2,1.6,106.3,-1.3,Lost W. Conf. 1st Rnd.,R. Carlisle (55-27),D. Nowitzki (12.3),8
ObjectId("5e8d4f83a82561787bbe150d"),2008-09,NBA,Dallas Mavericks*,50,32,0.61,3rd of 5,1.68,91.5,-0.2,110.5,2.2,108.4,0.1,Lost W. Conf. Semis,R. Carlisle (50-32),D. Nowitzki (10.9),8
ObjectId("5e8d4f83a82561787bbe150e"),2006-07,NBA,Dallas Mavericks*,67,15,0.817,1st of 5,7.28,89.5,-2.4,111.3,4.8,103.2,-3.3,Lost W. Conf. 1st Rnd.,A. Johnson (67-15),D. Nowitzki (16.3),8
ObjectId("5e8d4f83a82561787bbe150f"),2016-17,NBA,Dallas Mavericks,33,49,0.402,5th of 5,-2.53,92.2,-4.2,105.6,-3.2,108.8,0,,R. Carlisle (33-49),S. Curry (4.6),8
ObjectId("5e8d4f83a82561787bbe1510"),2007-08,NBA,Dallas Mavericks*,51,31,0.622,4th of 5,4.7,90.2,-2.2,111.1,3.6,106.1,-1.4,Lost W. Conf. 1st Rnd.,A. Johnson (51-31),D. Nowitzki (12.9),8
ObjectId("5e8d4f83a82561787bbe1511"),2005-06,NBA,Dallas Mavericks*,60,22,0.732,2nd of 5,5.96,87.8,-2.7,111.8,5.6,105,-1.2,Lost Finals,A. Johnson (60-22),D. Nowitzki (17.7),8
ObjectId("5e8d4f83a82561787bbe1512"),2004-05,NBA,Dallas Mavericks*,58,24,0.707,2nd of 5,5.86,92.7,1.8,110.3,4.2,104.1,-2,Lost W. Conf. Semis,D. Nelson (42-22) A. Johnson (16-2),D. Nowitzki (15.6),8
ObjectId("5e8d4f83a82561787bbe1513"),2014-15,NBA,Dallas Mavericks*,50,32,0.61,4th of 5,3.36,95.2,1.3,109.5,3.9,106.4,0.8,Lost W. Conf. 1st Rnd.,R. Carlisle (50-32),T. Chandler (10.3),8
ObjectId("5e8d4f83a82561787bbe1514"),2013-14,NBA,Dallas Mavericks*,49,33,0.598,4th of 5,2.91,93.5,-0.4,111.2,4.5,108.7,2,Lost W. Conf. 1st Rnd.,R. Carlisle (49-33),D. Nowitzki (10.9),8
ObjectId("5e8d4f83a82561787bbe1515"),2003-04,NBA,Dallas Mavericks*,52,30,0.634,3rd of 7,4.86,93.2,3.1,112.1,9.2,107.4,4.5,Lost W. Conf. 1st Rnd.,D. Nelson (52-30),D. Nowitzki (11.5),8
ObjectId("5e8d4f83a82561787bbe1516"),2012-13,NBA,Dallas Mavericks,41,41,0.5,4th of 5,-0.24,94.1,2.1,105.9,0,106.5,0.6,,R. Carlisle (41-41),V. Carter (6.0),8
ObjectId("5e8d4f83a82561787bbe1517"),2001-02,NBA,Dallas Mavericks*,57,25,0.695,2nd of 7,4.41,92.8,2.1,112.2,7.7,107.7,3.2,Lost W. Conf. Semis,D. Nelson (57-25),D. Nowitzki (13.4),8
ObjectId("5e8d4f83a82561787bbe1518"),2002-03,NBA,Dallas Mavericks*,60,22,0.732,2nd of 7,7.9,92.5,1.5,110.7,7.1,102.3,-1.3,Lost W. Conf. Finals,D. Nelson (60-22),D. Nowitzki (16.1),8
ObjectId("5e8d4f83a82561787bbe1519"),2017-18,NBA,Dallas Mavericks,24,58,0.293,4th of 5,-2.7,95.6,-1.7,106.3,-2.3,109.5,0.9,,R. Carlisle (24-58),D. Powell (6.6),8
ObjectId("5e8d4f83a82561787bbe151a"),1998-99,NBA,Dallas Mavericks,19,31,0.38,5th of 7,-2.5,89,0.1,102.3,0.1,104.9,2.7,,D. Nelson (19-31),M. Finley (5.4),8
ObjectId("5e8d4f83a82561787bbe151b"),1999-00,NBA,Dallas Mavericks,40,42,0.488,4th of 7,-0.29,94.9,1.8,106.6,2.5,107.2,3.1,,D. Nelson (40-42),M. Finley (8.3),8
ObjectId("5e8d4f83a82561787bbe151c"),2000-01,NBA,Dallas Mavericks*,53,29,0.646,3rd of 7,4.61,93.2,1.9,107.1,4.1,102.6,-0.4,Lost W. Conf. Semis,D. Nelson (53-29),D. Nowitzki (14.6),8
ObjectId("5e8d4f83a82561787bbe151d"),2015-16,NBA,Dallas Mavericks*,42,40,0.512,2nd of 5,-0.02,94.3,-1.5,106.7,0.3,107,0.6,Lost W. Conf. 1st Rnd.,R. Carlisle (42-40),D. Nowitzki (6.8),8
ObjectId("5e8d4f83a82561787bbe151e"),1996-97,NBA,Dallas Mavericks,24,58,0.293,4th of 7,-6.47,89,-1.1,101.1,-5.6,108.2,1.5,,J. Cleamons (24-58),A. Green (4.0),8
ObjectId("5e8d4f83a82561787bbe151f"),1997-98,NBA,Dallas Mavericks,20,62,0.244,5th of 7,-6.33,89.9,-0.4,100.5,-4.5,107.2,2.2,,J. Cleamons (4-12) D. Nelson (16-50),M. Finley (7.5),8
ObjectId("5e8d4f83a82561787bbe1520"),1994-95,NBA,Dallas Mavericks,36,46,0.439,5th of 6,-2.39,94.7,1.8,107.6,-0.7,110.6,2.3,,D. Motta (36-46),J. Mashburn (6.3),8
ObjectId("5e8d4f83a82561787bbe1521"),1993-94,NBA,Dallas Mavericks,13,69,0.159,6th of 6,-8.19,94.5,-0.6,100.4,-5.9,109.6,3.3,,Q. Buckner (13-69),P. Jones (3.6),8
ObjectId("5e8d4f83a82561787bbe1522"),1992-93,NBA,Dallas Mavericks,11,71,0.134,6th of 6,-14.68,99.5,2.7,99.5,-8.5,114.7,6.7,,R. Adubato (2-27) G. Heard (9-44),D. Harper (2.7),8
ObjectId("5e8d4f83a82561787bbe1523"),1995-96,NBA,Dallas Mavericks,26,56,0.317,6th of 7,-4.71,95.4,3.6,106.1,-1.5,111.2,3.6,,D. Motta (26-56),G. McCloud (5.8),8
ObjectId("5e8d4f83a82561787bbe1524"),1990-91,NBA,Dallas Mavericks,28,54,0.341,6th of 7,-4.27,94.2,-3.6,105.5,-2.4,110.3,2.4,,R. Adubato (28-54),D. Harper (7.6),8
ObjectId("5e8d4f83a82561787bbe1525"),1988-89,NBA,Dallas Mavericks,38,44,0.463,4th of 6,-1.79,95.9,-4.7,107.4,-0.4,108.6,0.8,,J. MacLeod (38-44),D. Harper (8.0),8
ObjectId("5e8d4f83a82561787bbe1526"),1982-83,NBA,Dallas Mavericks,38,44,0.463,4th of 6,-0.7,102.8,-0.3,109.4,4.7,109.8,5.1,,D. Motta (38-44),B. Davis (7.3),8
ObjectId("5e8d4f83a82561787bbe1527"),1986-87,NBA,Dallas Mavericks*,55,27,0.671,1st of 6,5.54,100.5,-0.3,114.9,6.6,108.7,0.4,Lost W. Conf. 1st Rnd.,D. Motta (55-27),J. Donaldson (10.4),8
ObjectId("5e8d4f83a82561787bbe1528"),1989-90,NBA,Dallas Mavericks*,47,35,0.573,3rd of 7,0.42,94.5,-3.8,107.2,-0.9,107.2,-0.9,Lost W. Conf. 1st Rnd.,J. MacLeod (5-6) R. Adubato (42-29),D. Harper (9.9),8
ObjectId("5e8d4f83a82561787bbe1529"),1987-88,NBA,Dallas Mavericks*,53,29,0.646,2nd of 6,3.59,97,-2.6,112.2,4.2,107.7,-0.3,Lost W. Conf. Finals,J. MacLeod (53-29),D. Harper (9.1),8
ObjectId("5e8d4f83a82561787bbe152a"),1991-92,NBA,Dallas Mavericks,22,60,0.268,5th of 6,-7.47,94.4,-2.2,103,-5.2,111.1,2.9,,R. Adubato (22-60),R. Blackman (3.8),8
ObjectId("5e8d4f83a82561787bbe152b"),1983-84,NBA,Dallas Mavericks*,43,39,0.524,2nd of 6,0.15,99,-2.4,110,2.4,109.6,2,Lost W. Conf. Semis,D. Motta (43-39),R. Blackman (9.8),8
ObjectId("5e8d4f83a82561787bbe152c"),1984-85,NBA,Dallas Mavericks*,44,38,0.537,3rd of 6,1.8,98.8,-3.3,111.5,3.6,109.3,1.4,Lost W. Conf. 1st Rnd.,D. Motta (44-38),B. Davis (7.4),8
ObjectId("5e8d4f83a82561787bbe152d"),1981-82,NBA,Dallas Mavericks,28,54,0.341,5th of 6,-4.48,98.5,-2.4,105.9,-1,110.4,3.5,,D. Motta (28-54),J. Vincent (5.6),8
ObjectId("5e8d4f83a82561787bbe152e"),1980-81,NBA,Dallas Mavericks,15,67,0.183,6th of 6,-8.33,98.6,-3.2,102.4,-3.1,110.8,5.3,,D. Motta (15-67),J. Spanarkel (5.5),8
ObjectId("5e8d4f83a82561787bbe152f"),1985-86,NBA,Dallas Mavericks*,44,38,0.537,3rd of 6,0.7,102.2,0.1,112.1,4.9,111,3.8,Lost W. Conf. Semis,D. Motta (44-38),S. Perkins (7.3),8
ObjectId("5e8d4f865cf54415f026207a"),2019-20,NBA,Denver Nuggets,43,22,0.662,1st of 5,3.02,97.2,-3,112.5,2.1,109.5,-0.9,,M. Malone (43-22),N. Jokić (9.2),9
ObjectId("5e8d4f865cf54415f026207b"),2011-12,NBA,Denver Nuggets*,38,28,0.576,2nd of 5,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.,G. Karl (38-28),T. Lawson (6.9),9
ObjectId("5e8d4f865cf54415f026207c"),2010-11,NBA,Denver Nuggets*,50,32,0.61,2nd of 5,4.81,95.6,3.5,112.3,5,107.3,0,Lost W. Conf. 1st Rnd.,G. Karl (50-32),N. Hilário (9.6),9
ObjectId("5e8d4f865cf54415f026207d"),2009-10,NBA,Denver Nuggets*,53,29,0.646,1st of 5,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,Lost W. Conf. 1st Rnd.,G. Karl (53-29),N. Hilário (10.8),9
ObjectId("5e8d4f865cf54415f026207e"),2008-09,NBA,Denver Nuggets*,54,28,0.659,1st of 5,3.13,94.3,2.6,110.4,2.1,106.8,-1.5,Lost W. Conf. Finals,G. Karl (54-28),C. Billups (9.9),9
ObjectId("5e8d4f865cf54415f026207f"),2016-17,NBA,Denver Nuggets,40,42,0.488,4th of 5,0.7,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone (40-42),N. Jokić (9.7),9
ObjectId("5e8d4f865cf54415f0262080"),2007-08,NBA,Denver Nuggets*,50,32,0.61,2nd of 5,3.74,99.7,7.3,110,2.5,106.3,-1.2,Lost W. Conf. 1st Rnd.,G. Karl (50-32),A. Iverson (11.6),9
ObjectId("5e8d4f865cf54415f0262081"),2006-07,NBA,Denver Nuggets*,45,37,0.549,2nd of 5,1.69,97.4,5.5,107.6,1.1,105.9,-0.6,Lost W. Conf. 1st Rnd.,G. Karl (45-37),M. Camby (7.6),9
ObjectId("5e8d4f865cf54415f0262082"),2005-06,NBA,Denver Nuggets*,44,38,0.537,1st of 5,0.36,93.9,3.4,105.5,-0.7,105.2,-1,Lost W. Conf. 1st Rnd.,G. Karl (44-38),C. Anthony (9.4),9
ObjectId("5e8d4f865cf54415f0262083"),2004-05,NBA,Denver Nuggets*,49,33,0.598,2nd of 5,2.23,93.5,2.6,106,-0.1,103.9,-2.2,Lost W. Conf. 1st Rnd.,J. Bzdelik (13-15) M. Cooper (4-10) G. Karl (32-8),A. Miller (7.0),9
ObjectId("5e8d4f865cf54415f0262084"),2018-19,NBA,Denver Nuggets*,54,28,0.659,1st of 5,4.19,97.7,-2.3,113,2.6,108.9,-1.5,Lost W. Conf. Semis,M. Malone (54-28),N. Jokić (11.8),9
ObjectId("5e8d4f865cf54415f0262085"),2017-18,NBA,Denver Nuggets,46,36,0.561,5th of 5,1.57,96.8,-0.5,112.5,3.9,111,2.4,,M. Malone (46-36),N. Jokić (10.7),9
ObjectId("5e8d4f865cf54415f0262086"),2014-15,NBA,Denver Nuggets,30,52,0.366,4th of 5,-3.07,96.1,2.2,104.5,-1.1,108.2,2.6,,B. Shaw (20-39) M. Hunt (10-13),T. Lawson (7.0),9
ObjectId("5e8d4f865cf54415f0262087"),2015-16,NBA,Denver Nuggets,33,49,0.402,4th of 5,-2.81,95.7,-0.1,105.6,-0.8,108.9,2.5,,M. Malone (33-49),N. Jokić (6.7),9
ObjectId("5e8d4f865cf54415f0262088"),2003-04,NBA,Denver Nuggets*,43,39,0.524,6th of 7,1.65,93.3,3.2,103.9,1,102.7,-0.2,Lost W. Conf. 1st Rnd.,J. Bzdelik (43-39),A. Miller (8.8),9
ObjectId("5e8d4f865cf54415f0262089"),2001-02,NBA,Denver Nuggets,27,55,0.329,6th of 7,-5.19,90.4,-0.3,101.4,-3.1,107.8,3.3,,D. Issel (9-17) M. Evans (18-38),R. LaFrentz (4.5),9
ObjectId("5e8d4f865cf54415f026208a"),2002-03,NBA,Denver Nuggets,17,65,0.207,7th of 7,-7.41,91,0,92.2,-11.4,101.3,-2.3,,J. Bzdelik (17-65),J. Howard (6.0),9
ObjectId("5e8d4f865cf54415f026208b"),2012-13,NBA,Denver Nuggets*,57,25,0.695,2nd of 5,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,Lost W. Conf. 1st Rnd.,G. Karl (57-25),K. Faried (7.8),9
ObjectId("5e8d4f865cf54415f026208c"),2000-01,NBA,Denver Nuggets,40,42,0.488,6th of 7,-1.83,92.6,1.3,103.7,0.7,106.3,3.3,,D. Issel (40-42),A. McDyess (7.8),9
ObjectId("5e8d4f865cf54415f026208d"),1999-00,NBA,Denver Nuggets,35,47,0.427,5th of 7,-1.76,94.7,1.6,103.5,-0.6,105.8,1.7,,D. Issel (35-47),A. McDyess (6.2),9
ObjectId("5e8d4f865cf54415f026208e"),1998-99,NBA,Denver Nuggets,14,36,0.28,6th of 7,-6.67,90.5,1.6,103.1,0.9,110.4,8.2,,M. D'Antoni (14-36),D. Fortson (4.4),9
ObjectId("5e8d4f865cf54415f026208f"),1997-98,NBA,Denver Nuggets,11,71,0.134,7th of 7,-11.74,89.7,-0.6,99,-6,112.1,7.1,,B. Hanzlik (11-71),A. Goldwire (3.0),9
ObjectId("5e8d4f865cf54415f0262090"),1996-97,NBA,Denver Nuggets,21,61,0.256,5th of 7,-6.4,92.4,2.3,104.5,-2.2,111.2,4.5,,B. Bickerstaff (4-9) D. Motta (17-52),E. Johnson (5.2),9
ObjectId("5e8d4f865cf54415f0262091"),1995-96,NBA,Denver Nuggets,35,47,0.427,4th of 7,-2.62,92.2,0.4,105.2,-2.4,108.1,0.5,,B. Bickerstaff (35-47),D. Mutombo (7.6),9
ObjectId("5e8d4f865cf54415f0262092"),1994-95,NBA,Denver Nuggets*,41,41,0.5,4th of 6,0.96,91.5,-1.4,109.1,0.8,108.2,-0.1,Lost W. Conf. 1st Rnd.,D. Issel (18-16) G. Littles (3-13) B. Bickerstaff (20-12),D. Mutombo (8.7),9
ObjectId("5e8d4f865cf54415f0262093"),2013-14,NBA,Denver Nuggets,36,46,0.439,4th of 5,-1.4,98.1,4.2,106,-0.7,108.2,1.5,,B. Shaw (36-46),K. Faried (6.5),9
