_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f39a3c4ba8dd2313d7b"),1993-94,NBA,Atlanta Hawks*,57,25,0.695,1st of 7,4.94,94.2,-0.9,107.2,0.9,101.7,-4.6,Lost E. Conf. Semis,L. Wilkens (57-25),M. Blaylock (10.2),1
ObjectId("5e8d4f39a3c4ba8dd2313d7c"),1994-95,NBA,Atlanta Hawks*,42,40,0.512,5th of 7,1.06,89.8,-3.1,106.6,-1.7,105.2,-3.1,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),M. Blaylock (9.4),1
ObjectId("5e8d4f39a3c4ba8dd2313d7d"),1992-93,NBA,Atlanta Hawks*,43,39,0.524,4th of 7,-0.67,97.6,0.8,109.3,1.3,110.2,2.2,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),D. Wilkins (10.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d7e"),1991-92,NBA,Atlanta Hawks,38,44,0.463,5th of 7,-1.15,97.8,1.2,107.3,-0.9,108.9,0.7,,B. Weiss (38-44),K. Willis (8.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d7f"),1998-99,NBA,Atlanta Hawks*,31,19,0.62,2nd of 8,2.82,85.3,-3.6,100.5,-1.7,97.1,-5.1,Lost E. Conf. Semis,L. Wilkens (31-19),D. Mutombo (7.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d80"),1990-91,NBA,Atlanta Hawks*,43,39,0.524,4th of 7,0.72,98.6,0.8,110.9,3,110.1,2.2,Lost E. Conf. 1st Rnd.,B. Weiss (43-39),D. Wilkins (11.4),1
ObjectId("5e8d4f39a3c4ba8dd2313d81"),1988-89,NBA,Atlanta Hawks*,52,30,0.634,3rd of 6,5.26,98.3,-2.3,112.2,4.4,107.2,-0.6,Lost E. Conf. 1st Rnd.,M. Fratello (52-30),M. Malone (10.7),1
ObjectId("5e8d4f39a3c4ba8dd2313d82"),1986-87,NBA,Atlanta Hawks*,57,25,0.695,1st of 6,7.18,97.4,-3.4,112.6,4.3,105.2,-3.1,Lost E. Conf. Semis,M. Fratello (57-25),D. Wilkins (12.2),1
ObjectId("5e8d4f39a3c4ba8dd2313d83"),1987-88,NBA,Atlanta Hawks*,50,32,0.61,3rd of 6,4.02,96.4,-3.2,111.3,3.3,107.6,-0.4,Lost E. Conf. Semis,M. Fratello (50-32),D. Wilkins (9.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d84"),1984-85,NBA,Atlanta Hawks,34,48,0.415,5th of 6,-1.14,99.8,-2.3,105.9,-2,107.3,-0.6,,M. Fratello (34-48),D. Wilkins (7.6),1
ObjectId("5e8d4f39a3c4ba8dd2313d85"),1985-86,NBA,Atlanta Hawks*,50,32,0.61,2nd of 6,2.59,100,-2.1,107.9,0.7,105.6,-1.6,Lost E. Conf. Semis,M. Fratello (50-32),D. Wilkins (10.8),1
ObjectId("5e8d4f39a3c4ba8dd2313d86"),1989-90,NBA,Atlanta Hawks,41,41,0.5,6th of 7,0.64,95.8,-2.5,113,4.9,111.9,3.8,,M. Fratello (41-41),D. Wilkins (11.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d87"),1982-83,NBA,Atlanta Hawks*,43,39,0.524,2nd of 6,-0.72,98.9,-4.2,102.2,-2.5,103.2,-1.5,Lost E. Conf. 1st Rnd.,K. Loughery (43-39),D. Roundfield (7.4),1
ObjectId("5e8d4f39a3c4ba8dd2313d88"),1981-82,NBA,Atlanta Hawks*,42,40,0.512,2nd of 6,0.81,95.1,-5.8,105.1,-1.8,104.6,-2.3,Lost E. Conf. 1st Rnd.,K. Loughery (42-40),D. Roundfield (6.5),1
ObjectId("5e8d4f39a3c4ba8dd2313d89"),1983-84,NBA,Atlanta Hawks*,40,42,0.488,3rd of 6,-1.08,95.3,-6.1,105.5,-2.1,106.9,-0.7,Lost E. Conf. 1st Rnd.,M. Fratello (40-42),D. Roundfield (7.1),1
ObjectId("5e8d4f39a3c4ba8dd2313d8a"),1980-81,NBA,Atlanta Hawks,31,51,0.378,4th of 6,-2.37,99.4,-2.4,104.3,-1.2,107.3,1.8,,H. Brown (31-48) M. Fratello (0-3),D. Roundfield (7.0),1
ObjectId("5e8d4f39a3c4ba8dd2313d8b"),1979-80,NBA,Atlanta Hawks*,50,32,0.61,1st of 6,2.83,98.9,-4.2,105.2,-0.1,102.3,-3,Lost E. Conf. Semis,H. Brown (50-32),T. Rollins (9.2),1
ObjectId("5e8d4f39a3c4ba8dd2313d8c"),1978-79,NBA,Atlanta Hawks*,46,36,0.561,3rd of 6,1.92,102.5,-3.3,105.6,1.8,103.6,-0.2,Lost E. Conf. Semis,H. Brown (46-36),J. Drew (8.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d8d"),1976-77,NBA,Atlanta Hawks,31,51,0.378,6th of 6,-3.87,104.6,-1.9,97.8,-1.7,101.6,2.1,,H. Brown (31-51),J. Drew (7.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d8e"),1977-78,NBA,Atlanta Hawks*,41,41,0.5,4th of 6,-0.13,103.3,-3.4,99.7,-1.2,99.8,-1.1,Lost E. Conf. 1st Rnd.,H. Brown (41-41),J. Drew (8.9),1
ObjectId("5e8d4f39a3c4ba8dd2313d8f"),1975-76,NBA,Atlanta Hawks,29,53,0.354,5th of 5,-2.66,103.6,-1.9,98.4,0.1,101.2,2.9,,C. Fitzsimmons (28-46) G. Tormohlen (1-7),J. Drew (10.6),1
