Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Memphis Grizzlies,32,33,0.492,3rd of 5,-1.05,102.8,2.6,109.4,-1,110.4,0,,T. Jenkins (32-33),J. Valančiūnas (6.2),19
2018-19,NBA,Memphis Grizzlies,33,49,0.402,3rd of 5,-2.08,96.6,-3.4,106.1,-4.3,108.8,-1.6,,J. Bickerstaff (33-49),M. Conley (8.0),19
2017-18,NBA,Memphis Grizzlies,22,60,0.268,5th of 5,-5.81,94.9,-2.4,104.5,-4.1,111,2.4,,D. Fizdale (7-12) J. Bickerstaff (15-48),T. Evans (4.2),19
2016-17,NBA,Memphis Grizzlies*,43,39,0.524,3rd of 5,0.96,92.3,-4.1,107.7,-1.1,107.1,-1.7,Lost W. Conf. 1st Rnd.,D. Fizdale (43-39),M. Conley (10.0),19
2015-16,NBA,Memphis Grizzlies*,42,40,0.512,3rd of 5,-2.14,93.3,-2.5,105.4,-1,107.8,1.4,Lost W. Conf. 1st Rnd.,D. Joerger (42-40),M. Conley (5.3),19
2014-15,NBA,Memphis Grizzlies*,55,27,0.671,2nd of 5,3.62,92,-1.9,105.7,0.1,102.2,-3.4,Lost W. Conf. Semis,D. Joerger (55-27),M. Gasol (10.2),19
2013-14,NBA,Memphis Grizzlies*,50,32,0.61,3rd of 5,2.18,89.9,-4,106.3,-0.4,104.6,-2.1,Lost W. Conf. 1st Rnd.,D. Joerger (50-32),M. Conley (8.2),19
2012-13,NBA,Memphis Grizzlies*,56,26,0.683,2nd of 5,4.32,88.4,-3.6,104.9,-1,100.3,-5.6,Lost W. Conf. Finals,L. Hollins (56-26),M. Gasol (11.5),19
2011-12,NBA,Memphis Grizzlies*,41,25,0.621,2nd of 5,2.43,90.8,-0.5,104,-0.6,101.8,-2.8,Lost W. Conf. 1st Rnd.,L. Hollins (41-25),M. Gasol (8.2),19
2010-11,NBA,Memphis Grizzlies*,46,36,0.561,4th of 5,2.55,91.9,-0.2,107.6,0.3,105.1,-2.2,Lost W. Conf. Semis,L. Hollins (46-36),Z. Randolph (10.5),19
2009-10,NBA,Memphis Grizzlies,40,42,0.488,4th of 5,-1.39,93.6,0.9,108.3,0.7,109.9,2.3,,L. Hollins (40-42),Z. Randolph (9.7),19
2008-09,NBA,Memphis Grizzlies,24,58,0.293,5th of 5,-5.23,90.1,-1.6,103.5,-4.8,109.5,1.2,,M. Iavaroni (11-30) J. Davis (0-2) L. Hollins (13-26),M. Gasol (6.4),19
2007-08,NBA,Memphis Grizzlies,22,60,0.268,5th of 5,-5.76,95.3,2.9,105,-2.5,111.4,3.9,,M. Iavaroni (22-60),M. Miller (5.0),19
2006-07,NBA,Memphis Grizzlies,22,60,0.268,5th of 5,-4.44,93.6,1.7,106.9,0.4,112.3,5.8,,M. Fratello (6-24) T. Barone (16-36),P. Gasol (6.9),19
2005-06,NBA,Memphis Grizzlies*,49,33,0.598,3rd of 5,3.74,86.3,-4.2,105.9,-0.3,101.6,-4.6,Lost W. Conf. 1st Rnd.,M. Fratello (49-33),P. Gasol (12.0),19
2004-05,NBA,Memphis Grizzlies*,45,37,0.549,4th of 5,2.64,88.5,-2.4,105.5,-0.6,102.9,-3.2,Lost W. Conf. 1st Rnd.,H. Brown (5-7) L. Hollins (0-4) M. Fratello (40-26),S. Battier (7.8),19
2003-04,NBA,Memphis Grizzlies*,50,32,0.61,4th of 7,2.95,91.4,1.3,104.8,1.9,102.2,-0.7,Lost W. Conf. 1st Rnd.,H. Brown (50-32),J. Posey (10.0),19
2002-03,NBA,Memphis Grizzlies,28,54,0.341,6th of 7,-2.6,92.7,1.7,103.9,0.3,107.3,3.7,,S. Lowe (0-8) H. Brown (28-46),P. Gasol (8.5),19
2001-02,NBA,Memphis Grizzlies,23,59,0.28,7th of 7,-6.74,91.1,0.4,98.2,-6.3,106.3,1.8,,S. Lowe (23-59),P. Gasol (7.6),19
2000-01,NBA,Vancouver Grizzlies,23,59,0.28,7th of 7,-4.94,91.7,0.4,99.6,-3.4,105.8,2.8,,S. Lowe (23-59),S. Abdur-Rahim (8.5),19
1999-00,NBA,Vancouver Grizzlies,22,60,0.268,7th of 7,-5.1,91,-2.1,102.3,-1.8,108.5,4.4,,B. Hill (4-18) L. Hollins (18-42),S. Abdur-Rahim (8.8),19
1998-99,NBA,Vancouver Grizzlies,8,42,0.16,7th of 7,-8.94,89,0.1,98.4,-3.8,107.9,5.7,,B. Hill (8-42),S. Abdur-Rahim (4.6),19
1997-98,NBA,Vancouver Grizzlies,19,63,0.232,6th of 7,-7.47,92.1,1.8,104.1,-0.9,112,7,,B. Hill (19-63),S. Abdur-Rahim (6.9),19
1996-97,NBA,Vancouver Grizzlies,14,68,0.171,7th of 7,-10.17,88.4,-1.7,100.3,-6.4,111.8,5.1,,B. Winters (8-35) S. Jackson (6-33),G. Anthony (3.5),19
1995-96,NBA,Vancouver Grizzlies,15,67,0.183,7th of 7,-9.55,91,-0.8,97.6,-10,108.5,0.9,,B. Winters (15-67),G. Anthony (4.8),19
