Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Washington Wizards,24,40,0.375,3rd of 5,-4.86,102.8,2.6,111.9,1.5,115.8,5.4,,S. Brooks (24-40),B. Beal (5.1),41
2018-19,NBA,Washington Wizards,32,50,0.39,4th of 5,-3.3,101.4,1.4,111.1,0.7,113.9,3.5,,S. Brooks (32-50),B. Beal (7.6),41
2017-18,NBA,Washington Wizards*,43,39,0.524,2nd of 5,0.53,96.6,-0.7,109.3,0.7,108.7,0.1,Lost E. Conf. 1st Rnd.,S. Brooks (43-39),O. Porter (8.1),41
2016-17,NBA,Washington Wizards*,49,33,0.598,1st of 5,1.36,97.4,1,111.2,2.4,109.3,0.5,Lost E. Conf. Semis,S. Brooks (49-33),O. Porter (9.4),41
2015-16,NBA,Washington Wizards,41,41,0.5,4th of 5,-0.5,98.5,2.7,105.3,-1.1,105.8,-0.6,,R. Wittman (41-41),M. Gortat (7.3),41
2014-15,NBA,Washington Wizards*,46,36,0.561,2nd of 5,0.17,93.7,-0.2,103.7,-1.9,103,-2.6,Lost E. Conf. Semis,R. Wittman (46-36),M. Gortat (8.6),41
2013-14,NBA,Washington Wizards*,44,38,0.537,2nd of 5,0.48,93.2,-0.7,106,-0.7,104.6,-2.1,Lost E. Conf. Semis,R. Wittman (44-38),M. Gortat (8.1),41
2012-13,NBA,Washington Wizards,29,53,0.354,3rd of 5,-2.78,92.2,0.2,100.2,-5.7,103,-2.9,,R. Wittman (29-53),M. Webster (6.3),41
2011-12,NBA,Washington Wizards,20,46,0.303,4th of 5,-5.14,92.5,1.2,101,-3.6,106.2,1.6,,F. Saunders (2-15) R. Wittman (18-31),J. Wall (3.5),41
2010-11,NBA,Washington Wizards,23,59,0.28,5th of 5,-7.3,93.8,1.7,102.4,-4.9,110.2,2.9,,F. Saunders (23-59),J. McGee (5.3),41
2009-10,NBA,Washington Wizards,26,56,0.317,5th of 5,-4.72,91.6,-1.1,104.2,-3.4,109.4,1.8,,F. Saunders (26-56),B. Haywood (4.5),41
2008-09,NBA,Washington Wizards,19,63,0.232,5th of 5,-6.98,91,-0.7,105.4,-2.9,113.6,5.3,,E. Jordan (1-10) E. Tapscott (18-53),A. Jamison (8.1),41
2007-08,NBA,Washington Wizards*,43,39,0.524,2nd of 5,-0.61,89.5,-2.9,109.2,1.7,109.6,2.1,Lost E. Conf. 1st Rnd.,E. Jordan (43-39),A. Jamison (9.2),41
2006-07,NBA,Washington Wizards*,41,41,0.5,2nd of 5,-0.8,94.1,2.2,110.1,3.6,110.6,4.1,Lost E. Conf. 1st Rnd.,E. Jordan (41-41),G. Arenas (10.8),41
2005-06,NBA,Washington Wizards*,42,40,0.512,2nd of 5,1.57,92.3,1.8,109.3,3.1,107.3,1.1,Lost E. Conf. 1st Rnd.,E. Jordan (42-40),G. Arenas (13.6),41
2004-05,NBA,Washington Wizards*,45,37,0.549,2nd of 5,-0.71,93.3,2.4,107.2,1.1,107.5,1.4,Lost E. Conf. Semis,E. Jordan (45-37),G. Arenas (11.5),41
2003-04,NBA,Washington Wizards,25,57,0.305,6th of 7,-6.12,92.2,2.1,98.8,-4.1,104.8,1.9,,E. Jordan (25-57),K. Brown (4.9),41
2002-03,NBA,Washington Wizards,37,45,0.451,5th of 7,-1.47,88.2,-2.8,103,-0.6,104.1,0.5,,D. Collins (37-45),C. Laettner (6.6),41
2001-02,NBA,Washington Wizards,37,45,0.451,5th of 7,-1.58,88.3,-2.4,104.8,0.3,106.4,1.9,,D. Collins (37-45),C. Whitney (6.5),41
2000-01,NBA,Washington Wizards,19,63,0.232,7th of 7,-6.75,92.7,1.4,100.6,-2.4,107.8,4.8,,L. Hamilton (19-63),M. Smith (3.6),41
1999-00,NBA,Washington Wizards,29,53,0.354,7th of 7,-3.47,92.7,-0.4,103.5,-0.6,107,2.9,,G. Heard (14-30) D. Walker (15-23),M. Richmond (5.2),41
