NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,YEAR,TEAMID,TEAMABRV
,Gene Berce,G-F,5-11,175,1926-11-22,US,R,Marquette,1949-50,1,TRI
13.0,John Chaney,F-C,6-3,185,1920-02-29,US,R,LSU,1949-50,1,TRI
11.0,Dike Eddleman,SF,6-3,189,1922-12-27,US,R,Illinois,1949-50,1,TRI
12.0,Gene Englund,F-C,6-5,205,1917-10-21,US,R,Wisconsin,1949-50,1,TRI
18.0,Dee Gibson,F-G,5-11,175,1923-08-25,US,R,Western Kentucky,1949-50,1,TRI
8.0,Billy Hassett,G,5-11,180,1921-10-21,US,R,Notre Dame,1949-50,1,TRI
20.0,Bill Henry,C,6-9,215,1924-12-27,US,1,Rice University,1949-50,1,TRI
12.0,Jack Kerris,PF,6-6,215,1925-01-30,US,R,Loyola Chicago,1949-50,1,TRI
4.0,Walt Kirk,PG,6-3,173,1924-09-03,US,1,Illinois,1949-50,1,TRI
12.0,John Mahnken,C,6-8,220,1922-06-16,US,3,Georgetown,1949-50,1,TRI
15.0,Jack Nichols,PF,6-7,222,1926-04-09,N/A,1,Washington,1949-50,1,TRI
9.0,George Nostrand,C-F,6-8,195,1924-01-25,US,3,Wyoming,1949-50,1,TRI
15.0,Don Otten,C,6-10,240,1921-04-18,US,R,Bowling Green,1949-50,1,TRI
20.0,Mac Otten,F-C,6-7,220,1925-12-16,US,R,Bowling Green,1949-50,1,TRI
,Red Owens,SG,6-3,185,1925-09-02,US,R,Baylor,1949-50,1,TRI
7.0,Warren Perkins,G-F,6-3,190,1922-02-02,US,R,Tulane,1949-50,1,TRI
96.0,Don Ray,F-C,6-5,190,1921-07-08,US,R,Western Kentucky,1949-50,1,TRI
,Dick Schulz,F-G,6-2,192,1917-01-03,US,3,Wisconsin,1949-50,1,TRI
21.0,Mike Todorovich,F-C,6-5,220,1923-06-11,US,R,Wyoming,1949-50,1,TRI
8.0,Gene Vance,G-F,6-3,195,1923-02-25,US,2,Illinois,1949-50,1,TRI
6.0,Whitey Von Nieda,G-F,6-1,170,1922-06-19,US,R,Penn State,1949-50,1,TRI
17.0,Murray Wier,G,5-9,155,1926-12-12,US,R,Iowa,1949-50,1,TRI
,Ed Beach,F,6-3,200,1929-01-25,US,R,West Virginia,1950-51,1,TRI
16,Harry Boykoff,C,6-10,225,1922-07-24,US,1,St. John's,1950-51,1,TRI
13,Frankie Brian,G,6-1,180,1923-05-01,US,1,LSU,1950-51,1,TRI
12,Tommy Byrnes,F-G,6-3,175,1923-02-19,US,4,Seton Hall,1950-51,1,TRI
10-15,Bob Carpenter,F-C,6-5,200,1917-11-06,US,1,East Texas State University,1950-51,1,TRI
14,Cal Christensen,SF,6-5,210,1927-06-06,US,R,Toledo,1950-51,1,TRI
12,Ray Corley,G,6-0,180,1928-01-14,US,1,Georgetown,1950-51,1,TRI
10,Hank DeZonie,C-F,6-6,215,1922-02-12,US,R,Clark Atlanta University,1950-51,1,TRI
18,Dike Eddleman,SF,6-3,189,1922-12-27,US,1,Illinois,1950-51,1,TRI
10,Ed Gayda,G-F,6-4,210,1927-05-16,N/A,R,Washington State,1950-51,1,TRI
9,John Hargis,G-F,6-2,180,1920-08-20,US,1,Texas,1950-51,1,TRI
16,Kleggie Hermsen,C-F,6-9,225,1923-03-12,US,4,Minnesota,1950-51,1,TRI
20,Noble Jorgensen,C,6-9,228,1925-05-18,US,2,Iowa,1950-51,1,TRI
17,John Logan,G,6-2,175,1921-01-01,US,4,Indiana,1950-51,1,TRI
15,Jack Nichols,PF,6-7,222,1926-04-09,N/A,2,Washington,1950-51,1,TRI
11,Warren Perkins,G-F,6-3,190,1922-02-02,US,1,Tulane,1950-51,1,TRI
20,Ed Peterson,C,6-9,220,1924-06-27,US,1,Cornell,1950-51,1,TRI
9,Herb Scherer,C,6-9,212,1928-12-21,US,R,Long Island University,1950-51,1,TRI
19,Mike Todorovich,F-C,6-5,220,1923-06-11,US,1,Wyoming,1950-51,1,TRI
12,Gene Vance,G-F,6-3,195,1923-02-25,US,3,Illinois,1950-51,1,TRI
,Elmer Behnke,C,6-7,210,1929-02-03,US,R,Bradley,1951-52,1,MLH
21.0,Charlie Black,F-C,6-5,200,1921-06-15,US,2,Kansas,1951-52,1,MLH
18.0,Don Boven,SG,6-4,210,1925-03-06,US,1,Western Michigan,1951-52,1,MLH
15.0,Art Burris,SF,6-5,220,1924-04-07,US,1,Tennessee,1951-52,1,MLH
20.0,Cal Christensen,SF,6-5,210,1927-06-06,US,1,Toledo,1951-52,1,MLH
20.0,Dillard Crocker,PF,6-4,205,1925-01-19,US,2,Western Michigan,1951-52,1,MLH
21.0,Nate DeLong,C,6-6,220,1926-01-05,US,R,University of Wisconsin-River Falls,1951-52,1,MLH
18.0,Dike Eddleman,SF,6-3,189,1922-12-27,US,2,Illinois,1951-52,1,MLH
,Jerry Fowler,C,6-8,230,1927-06-20,US,R,Missouri,1951-52,1,MLH
22.0,Mel Hutchins,C,6-6,200,1928-11-22,US,R,BYU,1951-52,1,MLH
16.0,Walt Kirk,PG,6-3,173,1924-09-03,US,2,Illinois,1951-52,1,MLH
15.0,John McConathy,F,6-5,195,1930-04-09,US,R,Northwestern State University,1951-52,1,MLH
17.0,Dick Mehen,PF,6-5,195,1922-05-20,US,2,Tennessee,1951-52,1,MLH
14.0,Kevin O'Shea,G,6-2,175,1925-07-10,US,1,Notre Dame,1951-52,1,MLH
14.0,Don Otten,C,6-10,240,1921-04-18,US,2,Bowling Green,1951-52,1,MLH
,Red Owens,SG,6-3,185,1925-09-02,US,1,Baylor,1951-52,1,MLH
15.0,Don Rehfeldt,SF,6-7,210,1927-01-07,US,1,Wisconsin,1951-52,1,MLH
,John Rennicke,G,6-2,185,1929-08-11,US,R,Drake University,1951-52,1,MLH
11.0,Gene Vance,G-F,6-3,195,1923-02-25,US,4,Illinois,1951-52,1,MLH
12.0,Bob Wilson,PG,6-4,185,1926-03-08,US,R,West Virginia State University,1951-52,1,MLH
,Don Boven,F-G,6-4,210,1925-03-06,US,2,Western Michigan,1952-53,1,MLH
,Jim Brasco,G,6-1,170,1931-02-03,US,R,NYU,1952-53,1,MLH
10,Bill Calhoun,SF,6-3,180,1927-11-04,US,4,City College of San Francisco,1952-53,1,MLH
7,Dillard Crocker,PF,6-4,205,1925-01-19,US,3,Western Michigan,1952-53,1,MLH
10,Pete Darcey,C,6-7,217,1930-03-03,US,R,Oklahoma State,1952-53,1,MLH
,George Feigenbaum,PG,6-1,185,1928-07-02,US,1,Kentucky,1952-53,1,MLH
9,Mel Hutchins,C,6-6,200,1928-11-22,US,1,BYU,1952-53,1,MLH
3,Andrew Levane,SG,6-2,190,1920-04-11,US,2,St. John's,1952-53,1,MLH
4-12,Al Masino,PG,5-10,174,1928-02-05,US,R,Canisius,1952-53,1,MLH
,Bucky McConnell,PG,5-10,170,1928-07-01,US,R,Marshall,1952-53,1,MLH
3,Stan Miasek,SF,6-5,210,1923-09-19,US,5,,1952-53,1,MLH
,Eddie Miller,C,6-8,225,1931-06-18,US,R,Syracuse,1952-53,1,MLH
8,Dave Minor,PG,6-2,185,1922-02-23,US,1,UCLA,1952-53,1,MLH
5,Jack Nichols,PF,6-7,222,1926-04-09,N/A,3,Washington,1952-53,1,MLH
3,John O'Boyle,SG,6-2,185,1928-03-07,N/A,R,Colorado State,1952-53,1,MLH
,Mike O'Neill,SF,6-3,210,1928-08-11,US,R,California,1952-53,1,MLH
14,Don Otten,C,6-10,240,1921-04-18,US,3,Bowling Green,1952-53,1,MLH
6,Johnny Payak,SG,6-4,174,1926-11-20,US,1,Bowling Green,1952-53,1,MLH
10-13,George Ratkovicz,PF,6-6,220,1922-11-13,US,3,,1952-53,1,MLH
,Mark Workman,PF,6-9,215,1930-03-10,US,R,West Virginia,1952-53,1,MLH
7,Irv Bemoras,SF,6-3,185,1930-11-18,US,R,Illinois,1953-54,1,MLH
3,Bill Calhoun,SF,6-3,180,1927-11-04,US,5,City College of San Francisco,1953-54,1,MLH
5,Gene Dyker,F,6-6,225,1930-02-17,US,R,DePaul,1953-54,1,MLH
7,Bob Harrison,SG,6-1,190,1927-08-12,US,4,Michigan,1953-54,1,MLH
12-15,Lew Hitch,PF,6-8,200,1929-07-16,US,2,Kansas State,1953-54,1,MLH
10,Red Holzman,PG,5-10,175,1920-08-10,US,5,City College of New York,1953-54,1,MLH
14,Bob Houbregs,C-F,6-8,225,1932-03-12,CA,R,Washington,1953-54,1,MLH
8,Bob Lavoy,PF,6-7,185,1926-06-29,US,3,Western Kentucky,1953-54,1,MLH
8,Don Lofgran,SF,6-5,200,1929-11-08,US,3,San Francisco,1953-54,1,MLH
5,Jack Nichols,PF,6-7,222,1926-04-09,N/A,4,Washington,1953-54,1,MLH
,Bob Peterson,F,6-5,210,1932-01-25,US,R,Oregon,1953-54,1,MLH
13,George Ratkovicz,PF,6-6,220,1922-11-13,US,4,,1953-54,1,MLH
5,Chuck Share,C,6-11,235,1927-03-14,US,2,Bowling Green,1953-54,1,MLH
11,Don Sunderlage,SG,6-1,180,1929-12-20,US,R,Illinois,1953-54,1,MLH
6,Dick Surhoff,PF,6-4,210,1929-11-16,US,1,Long Island University,1953-54,1,MLH
9,Bill Tosheff,PG,6-1,175,1926-06-02,US,2,Indiana,1953-54,1,MLH
6,Isaac Walthour,G,5-11,163,1930-08-25,US,R,,1953-54,1,MLH
14,Max Zaslofsky,SG,6-2,170,1925-12-07,US,7,St. John's,1953-54,1,MLH
3,Bill Calhoun,SG,6-3,180,1927-11-04,US,6,City College of San Francisco,1954-55,1,MLH
15,Chuck Cooper,PF,6-5,210,1926-09-29,US,4,Duquesne,1954-55,1,MLH
4,Fred Diute,SG,6-3,210,1929-01-09,US,R,St. Bonaventure,1954-55,1,MLH
4,Alex Hannum,PF,6-7,210,1923-07-19,US,5,USC,1954-55,1,MLH
7,Bob Harrison,PG,6-1,190,1927-08-12,US,5,Michigan,1954-55,1,MLH
12,Lew Hitch,PF,6-8,200,1929-07-16,US,3,Kansas State,1954-55,1,MLH
8,Ronnie MacGilvray,PG,6-2,185,1930-07-20,US,R,St. John's,1954-55,1,MLH
6,Phil Martin,SF,6-3,190,1928-04-02,US,R,Toledo,1954-55,1,MLH
4,Ken McBride,SG,6-3,190,1929-05-23,US,R,University of Maryland Eastern Shore,1954-55,1,MLH
6,Carl McNulty,SG,6-3,185,1930-02-14,US,R,Purdue,1954-55,1,MLH
,Jackie Moore,SF,6-5,180,1932-09-24,US,R,La Salle,1954-55,1,MLH
9,Bob Pettit,PF,6-9,205,1932-12-12,US,R,LSU,1954-55,1,MLH
13,George Ratkovicz,PF,6-6,220,1922-11-13,US,5,,1954-55,1,MLH
10,Pep Saul,SG,6-2,185,1924-02-16,US,5,Seton Hall,1954-55,1,MLH
8-13-28,Frank Selvy,SF,6-3,180,1932-11-09,US,R,Furman University,1954-55,1,MLH
5,Chuck Share,C,6-11,235,1927-03-14,US,3,Bowling Green,1954-55,1,MLH
12,Bobby Watson,PG,6-0,160,1930-03-22,US,R,Kentucky,1954-55,1,MLH
12,Jack Coleman,PF,6-7,195,1924-05-23,US,6,Louisville,1955-56,1,STL
11,Chuck Cooper,F,6-5,210,1926-09-29,US,5,Duquesne,1955-56,1,STL
22,Al Ferrari,SF,6-4,190,1933-07-06,US,R,Michigan State,1955-56,1,STL
6,Alex Hannum,PF,6-7,210,1923-07-19,US,6,USC,1955-56,1,STL
24,Chris Harris,SG,6-3,190,1933-08-11,GB,R,Dayton,1955-56,1,STL
7,Bob Harrison,PG,6-1,190,1927-08-12,US,6,Michigan,1955-56,1,STL
24,Jack McMahon,PG,6-1,185,1928-12-03,US,3,St. John's,1955-56,1,STL
11-27,Med Park,SF,6-2,205,1933-04-11,US,R,Missouri,1955-56,1,STL
9,Bob Pettit,C,6-9,205,1932-12-12,US,1,LSU,1955-56,1,STL
12,Dick Ricketts,PF,6-7,215,1933-12-04,US,R,Duquesne,1955-56,1,STL
27,Bob Schafer,SG,6-3,195,1933-03-29,US,R,Villanova,1955-56,1,STL
28,Frank Selvy,SG,6-3,180,1932-11-09,US,1,Furman University,1955-56,1,STL
5,Chuck Share,C,6-11,235,1927-03-14,US,4,Bowling Green,1955-56,1,STL
15,Jack Stephens,SG,6-3,185,1933-05-18,N/A,R,Notre Dame,1955-56,1,STL
25,John Barber,F,6-6,210,1927-06-27,N/A,R,"California State University, Los Angeles",1956-57,1,STL
26,Irv Bemoras,SF,6-3,185,1930-11-18,US,1,Illinois,1956-57,1,STL
12,Jack Coleman,PF,6-7,195,1924-05-23,US,7,Louisville,1956-57,1,STL
6-17,Cliff Hagan,SF,6-4,210,1931-12-09,US,R,Kentucky,1956-57,1,STL
33,Alex Hannum,PF,6-7,210,1923-07-19,US,7,USC,1956-57,1,STL
,Bob Harrison,G,6-1,190,1927-08-12,US,7,Michigan,1956-57,1,STL
20-50,Ed Macauley,PF,6-8,185,1928-03-22,US,7,Saint Louis,1956-57,1,STL
22,Slater Martin,PG,5-10,170,1925-10-22,US,7,Texas,1956-57,1,STL
21,Jack McMahon,SG,6-1,185,1928-12-03,US,4,St. John's,1956-57,1,STL
33,Willie Naulls,F-C,6-6,225,1934-10-07,US,R,UCLA,1956-57,1,STL
32,Med Park,SG,6-2,205,1933-04-11,US,1,Missouri,1956-57,1,STL
9,Bob Pettit,C,6-9,205,1932-12-12,US,2,LSU,1956-57,1,STL
70,Chuck Share,C,6-11,235,1927-03-14,US,5,Bowling Green,1956-57,1,STL
15,Odie Spears,SF,6-5,205,1924-06-17,US,7,Western Kentucky,1956-57,1,STL
22,Norm Stewart,F,6-5,205,1935-01-20,US,R,Missouri,1956-57,1,STL
11,Jack Coleman,PF,6-7,195,1924-05-23,US,8,Louisville,1957-58,1,STL
12,Walt Davis,PF,6-8,205,1931-01-05,US,4,Texas A&M,1957-58,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,1,Kentucky,1957-58,1,STL
20,Ed Macauley,C,6-8,185,1928-03-22,US,8,Saint Louis,1957-58,1,STL
22,Slater Martin,PG,5-10,170,1925-10-22,US,8,Texas,1957-58,1,STL
21,Jack McMahon,SG,6-1,185,1928-12-03,US,5,St. John's,1957-58,1,STL
12,Red Morrison,C,6-8,220,1932-04-26,US,2,Idaho,1957-58,1,STL
17,Med Park,SG,6-2,205,1933-04-11,US,2,Missouri,1957-58,1,STL
17,Worthy Patterson,G,6-2,175,1931-06-17,US,R,UConn,1957-58,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,3,LSU,1957-58,1,STL
19,Frank Selvy,G-F,6-3,180,1932-11-09,US,2,Furman University,1957-58,1,STL
13,Chuck Share,C,6-11,235,1927-03-14,US,6,Bowling Green,1957-58,1,STL
15,Win Wilfong,PG,6-2,185,1933-03-18,US,R,Memphis,1957-58,1,STL
11-26,Al Ferrari,SG,6-4,190,1933-07-06,US,1,Michigan State,1958-59,1,STL
33,Dave Gambee,SF,6-6,215,1937-04-16,US,R,Oregon State,1958-59,1,STL
17,Si Green,PG,6-2,185,1933-08-20,US,1,Duquesne,1958-59,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,2,Kentucky,1958-59,1,STL
34,Clyde Lovellette,C,6-9,234,1929-09-07,US,5,Kansas,1958-59,1,STL
20,Ed Macauley,C,6-8,185,1928-03-22,US,9,Saint Louis,1958-59,1,STL
22,Slater Martin,PG,5-10,170,1925-10-22,US,9,Texas,1958-59,1,STL
21,Jack McMahon,SG,6-1,185,1928-12-03,US,6,St. John's,1958-59,1,STL
17,Med Park,SG,6-2,205,1933-04-11,US,3,Missouri,1958-59,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,4,LSU,1958-59,1,STL
12-19,Hub Reed,C,6-9,215,1936-10-04,US,R,Oklahoma City University,1958-59,1,STL
13,Chuck Share,C,6-11,235,1927-03-14,US,7,Bowling Green,1958-59,1,STL
10-15,Win Wilfong,PG,6-2,185,1933-03-18,US,1,Memphis,1958-59,1,STL
11,Al Ferrari,SG,6-4,190,1933-07-06,US,2,Michigan State,1959-60,1,STL
20,Bob Ferry,C,6-8,230,1937-05-31,US,R,Saint Louis,1959-60,1,STL
13,Larry Foust,C,6-9,215,1928-06-24,US,9,La Salle,1959-60,1,STL
12,Dave Gambee,SF,6-6,215,1937-04-16,US,1,Oregon State,1959-60,1,STL
17,Si Green,PG,6-2,185,1933-08-20,US,2,Duquesne,1959-60,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,3,Kentucky,1959-60,1,STL
34,Clyde Lovellette,C,6-9,234,1929-09-07,US,6,Kansas,1959-60,1,STL
22,Slater Martin,PG,5-10,170,1925-10-22,US,10,Texas,1959-60,1,STL
15,Johnny McCarthy,SG,6-1,185,1934-04-25,US,2,Canisius,1959-60,1,STL
21,Jack McMahon,PG,6-1,185,1928-12-03,US,7,St. John's,1959-60,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,5,LSU,1959-60,1,STL
12-25,Dave Piontek,SF,6-6,230,1934-08-27,US,3,Xavier,1959-60,1,STL
13,Cal Ramsey,SF,6-4,200,1937-07-13,US,R,NYU,1959-60,1,STL
19,Hub Reed,C,6-9,215,1936-10-04,US,1,Oklahoma City University,1959-60,1,STL
13,Chuck Share,C,6-11,235,1927-03-14,US,8,Bowling Green,1959-60,1,STL
12,Ernie Beck,SG,6-4,190,1931-12-11,US,6,University of Pennsylvania,1960-61,1,STL
11,Al Ferrari,SG,6-4,190,1933-07-06,US,3,Michigan State,1960-61,1,STL
13,Larry Foust,C,6-9,215,1928-06-24,US,10,La Salle,1960-61,1,STL
17,Si Green,SG,6-2,185,1933-08-20,US,3,Duquesne,1960-61,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,4,Kentucky,1960-61,1,STL
19,Fred LaCour,SF,6-5,210,1938-02-07,N/A,R,San Francisco,1960-61,1,STL
34,Clyde Lovellette,C,6-9,234,1929-09-07,US,7,Kansas,1960-61,1,STL
15,Johnny McCarthy,PG,6-1,185,1934-04-25,US,3,Canisius,1960-61,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,6,LSU,1960-61,1,STL
25,Dave Piontek,SF,6-6,230,1934-08-27,US,4,Xavier,1960-61,1,STL
12,Phil Rollins,G,6-2,185,1934-01-19,US,2,Louisville,1960-61,1,STL
21,Woody Sauldsberry,PF,6-7,220,1934-07-11,US,3,Texas Southern,1960-61,1,STL
32,Lenny Wilkens,PG,6-1,180,1937-10-28,US,R,Providence,1960-61,1,STL
,Stacey Arceneaux,F,6-4,210,1936-02-17,N/A,R,Iowa State,1961-62,1,STL
21,Barney Cable,SF,6-7,175,1935-07-29,US,3,Bradley,1961-62,1,STL
,Jimmy Darrow,G,5-10,170,1937-09-25,US,R,Bowling Green,1961-62,1,STL
29,Archie Dees,C,6-8,205,1936-02-22,US,3,Indiana,1961-62,1,STL
,Rich Eichhorst,G,6-3,200,1933-10-21,N/A,R,SE Missouri State,1961-62,1,STL
11,Al Ferrari,SG,6-4,190,1933-07-06,US,4,Michigan State,1961-62,1,STL
14,Larry Foust,C,6-9,215,1928-06-24,US,11,La Salle,1961-62,1,STL
29,Joe Graboski,F-C,6-7,195,1930-01-15,N/A,12,,1961-62,1,STL
17,Si Green,G-F,6-2,185,1933-08-20,US,4,Duquesne,1961-62,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,5,Kentucky,1961-62,1,STL
17,Vern Hatton,SG,6-3,195,1936-01-13,US,3,Kentucky,1961-62,1,STL
24,Cleo Hill,SG,6-1,185,1938-05-24,US,R,Winston-Salem State University,1961-62,1,STL
12,Ron Horn,SF,6-7,220,1938-05-24,US,R,Indiana,1961-62,1,STL
19,Fred LaCour,PG,6-5,210,1938-02-07,N/A,1,San Francisco,1961-62,1,STL
34,Clyde Lovellette,C,6-9,234,1929-09-07,US,8,Kansas,1961-62,1,STL
15,Johnny McCarthy,PG,6-1,185,1934-04-25,US,4,Canisius,1961-62,1,STL
25,Shellie McMillon,SF,6-5,205,1936-03-11,N/A,3,Bradley,1961-62,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,7,LSU,1961-62,1,STL
21,Woody Sauldsberry,PF,6-7,220,1934-07-11,US,4,Texas Southern,1961-62,1,STL
12,Bob Sims,SG,6-5,220,1938-10-09,N/A,R,Pepperdine,1961-62,1,STL
15-32,Lenny Wilkens,PG,6-1,180,1937-10-28,US,1,Providence,1961-62,1,STL
20,John Barnhill,SG,6-1,180,1938-03-20,US,R,Tennessee State,1962-63,1,STL
14,Zelmo Beaty,C,6-9,225,1939-10-25,US,R,Prairie View A&M University,1962-63,1,STL
10,Bill Bridges,PF,6-6,228,1939-04-04,US,R,Kansas,1962-63,1,STL
21,Barney Cable,SF,6-7,175,1935-07-29,US,4,Bradley,1962-63,1,STL
24,Bob Duffy,PG,6-3,185,1940-09-26,US,R,Colgate,1962-63,1,STL
12,Mike Farmer,SF,6-7,210,1936-09-26,US,3,San Francisco,1962-63,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,6,Kentucky,1962-63,1,STL
29,Phil Jordon,C,6-10,205,1933-09-12,US,6,Whitworth,1962-63,1,STL
11,Nick Mantis,SG,6-3,190,1935-12-07,US,1,Northwestern,1962-63,1,STL
10,Bevo Nordmann,C,6-10,225,1939-12-11,US,1,Saint Louis,1962-63,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,8,LSU,1962-63,1,STL
21,Woody Sauldsberry,PF,6-7,220,1934-07-11,US,5,Texas Southern,1962-63,1,STL
34,Gene Tormohlen,C,6-8,230,1937-05-12,US,R,Tennessee,1962-63,1,STL
17,Chico Vaughn,SG,6-2,190,1940-02-19,US,R,Southern Illinois,1962-63,1,STL
32,Lenny Wilkens,PG,6-1,180,1937-10-28,US,2,Providence,1962-63,1,STL
20.0,John Barnhill,SG,6-1,180,1938-03-20,US,1,Tennessee State,1963-64,1,STL
31.0,Zelmo Beaty,C,6-9,225,1939-10-25,US,1,Prairie View A&M University,1963-64,1,STL
32.0,Bill Bridges,PF,6-6,228,1939-04-04,US,1,Kansas,1963-64,1,STL
24.0,Bob Duffy,PG,6-3,185,1940-09-26,US,1,Colgate,1963-64,1,STL
12.0,Mike Farmer,SF,6-7,210,1936-09-26,US,4,San Francisco,1963-64,1,STL
15.0,Richie Guerin,SG,6-4,195,1932-05-29,US,7,Iona College,1963-64,1,STL
16.0,Cliff Hagan,SF,6-4,210,1931-12-09,US,7,Kentucky,1963-64,1,STL
10.0,Bevo Nordmann,C,6-10,225,1939-12-11,US,2,Saint Louis,1963-64,1,STL
9.0,Bob Pettit,PF,6-9,205,1932-12-12,US,9,LSU,1963-64,1,STL
,Ken Rohloff,G,6-0,195,1939-04-18,N/A,R,NC State,1963-64,1,STL
34.0,Gene Tormohlen,C,6-8,230,1937-05-12,US,1,Tennessee,1963-64,1,STL
17.0,Chico Vaughn,SG,6-2,190,1940-02-19,US,1,Southern Illinois,1963-64,1,STL
40.0,Gerry Ward,SG,6-4,195,1941-09-06,N/A,R,Boston College,1963-64,1,STL
14.0,Lenny Wilkens,PG,6-1,180,1937-10-28,US,3,Providence,1963-64,1,STL
20,John Barnhill,SG,6-1,180,1938-03-20,US,2,Tennessee State,1964-65,1,STL
31,Zelmo Beaty,C,6-9,225,1939-10-25,US,2,Prairie View A&M University,1964-65,1,STL
32,Bill Bridges,PF,6-6,228,1939-04-04,US,2,Kansas,1964-65,1,STL
34,Ed Burton,F,6-6,225,1939-08-13,N/A,1,Michigan State,1964-65,1,STL
12,Mike Farmer,SF,6-7,210,1936-09-26,US,5,San Francisco,1964-65,1,STL
15,Richie Guerin,SG,6-4,195,1932-05-29,US,8,Iona College,1964-65,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,8,Kentucky,1964-65,1,STL
40,Bill McGill,C,6-9,225,1939-09-16,US,2,Utah,1964-65,1,STL
44,Jeff Mullins,SG,6-4,190,1942-03-18,US,R,Duke,1964-65,1,STL
9,Bob Pettit,PF,6-9,205,1932-12-12,US,10,LSU,1964-65,1,STL
29,Paul Silas,PF,6-7,220,1943-07-12,US,R,Creighton,1964-65,1,STL
25,John Tresvant,PF,6-7,215,1939-11-06,N/A,R,Seattle University,1964-65,1,STL
17,Chico Vaughn,SG,6-2,190,1940-02-19,US,2,Southern Illinois,1964-65,1,STL
14,Lenny Wilkens,PG,6-1,180,1937-10-28,US,4,Providence,1964-65,1,STL
20,John Barnhill,PG,6-1,180,1938-03-20,US,3,Tennessee State,1965-66,1,STL
31,Zelmo Beaty,C,6-9,225,1939-10-25,US,3,Prairie View A&M University,1965-66,1,STL
32,Bill Bridges,PF,6-6,228,1939-04-04,US,3,Kansas,1965-66,1,STL
27,Joe Caldwell,SF,6-5,195,1941-11-01,US,1,Arizona State,1965-66,1,STL
12,Mike Farmer,SF,6-7,210,1936-09-26,US,6,San Francisco,1965-66,1,STL
15,Richie Guerin,SG,6-4,195,1932-05-29,US,9,Iona College,1965-66,1,STL
16,Cliff Hagan,SF,6-4,210,1931-12-09,US,9,Kentucky,1965-66,1,STL
44,Jeff Mullins,SG,6-4,190,1942-03-18,US,1,Duke,1965-66,1,STL
29,Paul Silas,PF,6-7,220,1943-07-12,US,1,Creighton,1965-66,1,STL
22,Rod Thorn,SG,6-4,195,1941-05-23,US,2,West Virginia,1965-66,1,STL
34,Gene Tormohlen,C,6-8,230,1937-05-12,US,2,Tennessee,1965-66,1,STL
27,John Tresvant,PF,6-7,215,1939-11-06,N/A,1,Seattle University,1965-66,1,STL
17,Chico Vaughn,PG,6-2,190,1940-02-19,US,3,Southern Illinois,1965-66,1,STL
25,Jim Washington,PF,6-6,210,1943-07-01,US,R,Villanova,1965-66,1,STL
14,Lenny Wilkens,PG,6-1,180,1937-10-28,US,5,Providence,1965-66,1,STL
31,Zelmo Beaty,C,6-9,225,1939-10-25,US,4,Prairie View A&M University,1966-67,1,STL
32,Bill Bridges,PF,6-6,228,1939-04-04,US,4,Kansas,1966-67,1,STL
27,Joe Caldwell,SF,6-5,195,1941-11-01,US,2,Arizona State,1966-67,1,STL
15,Richie Guerin,SG,6-4,195,1932-05-29,US,10,Iona College,1966-67,1,STL
12,Tom Hoover,C,6-9,230,1941-01-23,US,3,Villanova,1966-67,1,STL
23,Lou Hudson,SF,6-5,210,1944-07-11,US,R,Minnesota,1966-67,1,STL
30,Tommy Kron,SG,6-5,200,1943-02-28,N/A,R,Kentucky,1966-67,1,STL
12-29,Paul Silas,PF,6-7,220,1943-07-12,US,2,Creighton,1966-67,1,STL
10,Dick Snyder,SG,6-5,207,1944-02-01,US,R,Davidson,1966-67,1,STL
44,Rod Thorn,PG,6-4,195,1941-05-23,US,3,West Virginia,1966-67,1,STL
34,Gene Tormohlen,C,6-8,230,1937-05-12,US,3,Tennessee,1966-67,1,STL
14,Lenny Wilkens,PG,6-1,180,1937-10-28,US,6,Providence,1966-67,1,STL
31,Zelmo Beaty,C,6-9,225,1939-10-25,US,5,Prairie View A&M University,1967-68,1,STL
32,Bill Bridges,PF,6-6,228,1939-04-04,US,5,Kansas,1967-68,1,STL
27,Joe Caldwell,SF,6-5,195,1941-11-01,US,3,Arizona State,1967-68,1,STL
24-25,Jim Davis,C,6-9,225,1941-12-18,US,R,Colorado,1967-68,1,STL
23,Lou Hudson,SG,6-5,210,1944-07-11,US,1,Minnesota,1967-68,1,STL
20,George Lehmann,PG,6-0,180,1942-05-01,US,R,Campbell,1967-68,1,STL
44,Jay Miller,SF,6-5,205,1943-07-19,US,R,Notre Dame,1967-68,1,STL
30,Don Ohl,PG,6-3,190,1936-04-18,US,7,Illinois,1967-68,1,STL
